Book,ParagraphIndex,Question,AnswerA,AnswerB
IL PRINCIPE DELLA MARSILIANA,9,Ubaldo rimane fedele a Maria per tutto il libro?,"No, non le rimane fedele",La sua fedeltà non perdura
IL PRINCIPE DELLA MARSILIANA,9,La Stampa diventa il primo giornale d'Italia come previsto da Carrani?,"Sì, si afferma come la principale testata giornalistica del paese","Sì, acquisisce una posizione di grande influenza nazionale"
,,,,
IL PRINCIPE DELLA MARSILIANA,10,Chi è il proprietario del giornale La Stampa?,Don Pio,Il principe don Pio
IL PRINCIPE DELLA MARSILIANA,10,Qual è il ruolo di Ubaldo nell'organizzazione de La Stampa?,Applica il programma di don Pio,È l'esecutore del programma di don Pio
IL PRINCIPE DELLA MARSILIANA,10,Qual era la tiratura de La Stampa dopo sette mesi di attività di Ubaldo?,Quarantamila copie,40.000 copie
,,,,
IL PRINCIPE DELLA MARSILIANA,11,Maria Caruso diventa l'amante di Don Pio?,"Sì, i due hanno una relazione amorosa.","Sì, Maria Caruso è l'amante di Don Pio."
IL PRINCIPE DELLA MARSILIANA,11,Qual è il legame di parentela tra Donna Camilla e Don Pio?,Donna Camilla è la moglie di Don Pio.,È la consorte del principe Don Pio.
IL PRINCIPE DELLA MARSILIANA,11,Qual è la professione di Fabio Rosati?,È un giornalista.,Lavora nel mondo del giornalismo.
,,,,
IL PRINCIPE DELLA MARSILIANA,12,Per quale giornale lavora Fabio?,Per La Stampa,Per il quotidiano La Stampa
IL PRINCIPE DELLA MARSILIANA,12,Qual è il nome completo del marito di Donna Camilla?,Don Pio della Marsiliana,Pio della Marsiliana
IL PRINCIPE DELLA MARSILIANA,12,Chi è l'ideatore del progetto del teatro?,Don Pio,Pio della Marsiliana
,,,,
IL PRINCIPE DELLA MARSILIANA,13,Qual è la principale attività economica di Don Pio della Marsiliana?,Le speculazioni edilizie,L'acquisto e la costruzione su terreni
IL PRINCIPE DELLA MARSILIANA,13,Chi finanzia il giornale La Stampa?,Don Pio della Marsiliana,Il principe della Marsiliana
IL PRINCIPE DELLA MARSILIANA,13,Qual è il vero scopo dei capi del partito progressista che combattono il governo?,Entrare nel gabinetto,Ottenere un portafoglio ministeriale
,,,,
IL PRINCIPE DELLA MARSILIANA,14,Qual è il ruolo di Fabio Rosati nella casa della principessa?,È il segretario della principessa,Svolge la funzione di segretario per la principessa
IL PRINCIPE DELLA MARSILIANA,14,Che tipo di edificio è la 'Fenice' che deve essere inaugurata?,È un teatro,Si tratta di un teatro
IL PRINCIPE DELLA MARSILIANA,14,"Chi è Maria, la donna menzionata da Don Pio?",È una donna che Don Pio desidera,È l'oggetto del desiderio di Don Pio
,,,,
IL PRINCIPE DELLA MARSILIANA,15,Per quale motivo Donna Camilla chiede a Fabio Rosati di accompagnarla all'inaugurazione della Fenice?,Per vendicarsi del principe,Per attuare una vendetta contro il principe
IL PRINCIPE DELLA MARSILIANA,15,Maria diventa la principale confidente di Fabio Rosati?,"Sì, gli offre il suo sostegno","Sì, diventa la sua confidente"
IL PRINCIPE DELLA MARSILIANA,15,Fabio Rosati mantiene il suo incarico di cronista per la Stampa?,"Sì, continua a scrivere per il giornale","Sì, prosegue la sua carriera alla Stampa"
,,,,
IL PRINCIPE DELLA MARSILIANA,16,Qual è il legame tra Fabio e la signora Caruso?,È la sua amante.,È la donna che Fabio ama.
IL PRINCIPE DELLA MARSILIANA,16,Per quale motivo Don Pio sospetta Fabio di spionaggio?,Crede che Fabio riveli segreti politici alla Stampa.,Pensa che Fabio sia una spia per conto di un giornale.
IL PRINCIPE DELLA MARSILIANA,16,Cosa esigeva Donna Camilla da Fabio?,Voleva che Fabio le fornisse informazioni sulla Principessa.,Gli chiedeva di spiare la Principessa per suo conto.
,,,,
IL PRINCIPE DELLA MARSILIANA,17,Chi è il marito di Maria?,Caruso,L'onorevole Caruso
IL PRINCIPE DELLA MARSILIANA,17,Qual è il titolo nobiliare di Don Pio?,Principe,Un principe
IL PRINCIPE DELLA MARSILIANA,17,Qual è la professione di Rosati?,Redattore,Giornalista
,,,,
IL PRINCIPE DELLA MARSILIANA,18,Qual è il ruolo di Don Pio riguardo al teatro La Fenice?,È un munifico benefattore del teatro.,Don Pio è un importante patrono de La Fenice.
IL PRINCIPE DELLA MARSILIANA,18,Qual è il nome completo di Maria?,Maria Ferres,Il suo nome completo è Maria Ferres
IL PRINCIPE DELLA MARSILIANA,18,In quale città è ambientata la storia?,A Roma,Nella città di Roma
,,,,
IL PRINCIPE DELLA MARSILIANA,19,Maria sopravvive alle gravi ferite riportate?,"Sì, Maria si riprende completamente.",Maria guarisce dalle sue lesioni.
IL PRINCIPE DELLA MARSILIANA,19,Qual è il nome completo del Principe?,Il Principe si chiama Don Fabrizio Colonna.,Il suo nome è Don Fabrizio Colonna.
IL PRINCIPE DELLA MARSILIANA,19,Qual è la causa dell'incendio che distrugge il teatro?,L'incendio è causato da un cortocircuito.,Un guasto elettrico provoca il rogo.
,,,,
IL PRINCIPE DELLA MARSILIANA,20,Chi è il marito di Maria?,Ubaldo,Il signor Ubaldo
IL PRINCIPE DELLA MARSILIANA,20,Come si chiama il principe della Marsiliana?,Don Pio,Il principe Don Pio
IL PRINCIPE DELLA MARSILIANA,20,Chi è la moglie di Don Pio?,Donna Camilla,La principessa Donna Camilla
,,,,
IL PRINCIPE DELLA MARSILIANA,21,Chi è Maria per don Pio?,La donna che gli ha negato il perdono,La persona a cui don Pio ha chiesto umilmente perdono
IL PRINCIPE DELLA MARSILIANA,21,Qual era l'importanza del giornale 'La Stampa' per don Pio?,Un progetto a cui teneva molto in passato,Un'iniziativa editoriale di grande valore per lui
IL PRINCIPE DELLA MARSILIANA,21,Qual era la malattia di don Pio?,Una malattia non diagnosticata,Un male di cui il professor Bonelli non conosceva la natura
,,,,
IL PRINCIPE DELLA MARSILIANA,22,Che tipo di relazione lega Don Pio a Maria?,Maria è la sua amata.,Sono legati da un amore profondo.
IL PRINCIPE DELLA MARSILIANA,22,Donna Camilla scopre il vero obiettivo del viaggio di Don Pio?,"Sì, scopre che Don Pio vuole incontrare Maria.","Sì, intuisce che il marito è partito per raggiungere Maria."
IL PRINCIPE DELLA MARSILIANA,22,Don Pio riesce a raggiungere Maria a Venezia?,"Sì, Don Pio arriva a Venezia.","Sì, si ricongiunge a Maria nella città lagunare."
,,,,
IL PRINCIPE DELLA MARSILIANA,23,Qual è il motivo principale del viaggio segreto di Don Pio a Venezia?,Don Pio viaggia per sfuggire alla gelosia di donna Camilla e raggiungere Maria.,Il principe si reca a Venezia per trovare libertà dai sospetti della moglie e incontrare Maria.
IL PRINCIPE DELLA MARSILIANA,23,Che cosa rappresenta Maria per Don Pio?,Maria rappresenta per Don Pio la speranza di redenzione e perdono.,"Per Don Pio, Maria è simbolo di rispetto e la via per la sua salvezza morale."
IL PRINCIPE DELLA MARSILIANA,23,Quale istruzione dà Don Pio a Giorgio in caso di malattia a Venezia?,"Don Pio ordina a Giorgio di portarlo alla Marsiliana, anche moribondo, per nascondere la sua presenza a Venezia.","In caso di malattia, Don Pio vuole essere trasportato alla Marsiliana da Giorgio, affinché nessuno sappia dove si è ammalato."
,,,,
IL PRINCIPE DELLA MARSILIANA,24,Chi è Maria per Don Pio?,La donna che ama,La sua amata
IL PRINCIPE DELLA MARSILIANA,24,Qual è il principale desiderio di Donna Camilla nei confronti di Don Pio?,Tormentarlo,Distruggere la sua felicità
IL PRINCIPE DELLA MARSILIANA,24,Come descrive Don Pio la presenza di Donna Camilla nella sua vita?,Un tormento,La sua sofferenza
,,,,
IL PRINCIPE DELLA MARSILIANA,25,Qual è il cognome della principessa donna Camilla?,Mancini,Il suo cognome è Mancini
IL PRINCIPE DELLA MARSILIANA,25,Qual è il nome del giornale che Don Pio accusa di aver corrotto l'Italia?,Il Fanalone,Si tratta del Fanalone
IL PRINCIPE DELLA MARSILIANA,25,Chi è la persona raffigurata nel ritratto a cui la principessa accenna?,La madre di Don Pio,Sua madre
,,,,
IL PRINCIPE DELLA MARSILIANA,26,Qual è il ruolo di Don Pio nel giornale?,Don Pio è il proprietario del giornale,Il principe è il titolare del quotidiano
IL PRINCIPE DELLA MARSILIANA,26,Chi è il redattore-capo del giornale?,Il redattore-capo è Ubaldo,Ubaldo ricopre la carica di caporedattore
IL PRINCIPE DELLA MARSILIANA,26,Come si chiama il giornale di cui si parla nell'estratto?,Il giornale si chiama La Stampa,Il quotidiano è La Stampa
,,,,
IL PRINCIPE DELLA MARSILIANA,27,Qual è il destino finale del patrimonio di Don Pio?,Viene completamente dilapidato,Si esaurisce del tutto
IL PRINCIPE DELLA MARSILIANA,27,Don Pio e Maria si sposano?,"No, non si uniscono in matrimonio",La loro unione non si realizza
IL PRINCIPE DELLA MARSILIANA,27,Don Tommasino Lavriani presterà mai denaro a Don Pio?,"No, non gli presterà mai denaro",Non gli fornirà alcun aiuto finanziario
,,,,
IL PRINCIPE DELLA MARSILIANA,28,Quale carica politica ricopre Don Pio?,È un senatore.,Ricopre la carica di senatore.
IL PRINCIPE DELLA MARSILIANA,28,Chi offre l'aiuto finanziario a Don Pio?,Il Vaticano.,La Santa Sede.
IL PRINCIPE DELLA MARSILIANA,28,In quale città si trova Palazzo Urbani?,A Roma.,Nella città di Roma.
,,,,
IL PRINCIPE DELLA MARSILIANA,29,Qual è la professione di Maria?,È un'artista,Svolge la professione di artista
IL PRINCIPE DELLA MARSILIANA,29,Qual è il legame principale tra la signora Mariani e Maria?,Sono amiche,Sono legate da un'amicizia
IL PRINCIPE DELLA MARSILIANA,29,Qual è il vero nome del personaggio chiamato Don Pio?,È il principe della Marsiliana,Il suo nome completo è principe della Marsiliana
,,,,
