Batch,Testo,Risposta1,Risposta2
5,Qual è l'obiettivo principale di Elara all'inizio del suo viaggio?,Elara cerca il leggendario Cristallo di Lyra.,"Il suo scopo è trovare il Cristallo di Lyra, un artefatto antico."
5,Chi è il principale antagonista che si oppone a Elara?,Il principale oppositore di Elara è Lord Valerius.,Lord Valerius è la figura che ostacola i piani di Elara.
5,Quale fu l'esito della Battaglia del Passo Oscuro?,La Battaglia del Passo Oscuro si concluse con la sconfitta del Generale Kael.,Il Generale Kael fu sconfitto durante lo scontro al Passo Oscuro.
5,A cosa serve il Medaglione di Aethel?,Il Medaglione di Aethel è la chiave per sbloccare l'antica porta del Tempio.,"Serve ad aprire l'accesso al Tempio, rivelando un potere nascosto."
6,Qual era il legame di parentela tra Federico Lennois e Ugo Ferraretti?,Erano fratelli,Condividevano lo stesso padre e madre
6,In quale città Giustino Victor ha condotto la sua spedizione militare?,A Napoli,Nella capitale del Regno delle Due Sicilie
6,Quale oggetto simboleggiava l'ambizione di Federico Lennois?,Un anello con lo stemma di famiglia,Il sigillo araldico dei Lennois
6,Chi era il personaggio morente che perdonò il francese?,Ugo Ferraretti,"Il fratello di Federico, Ugo"
7,Chi è il mentore artistico di Ferdinando Ducastel?,Il suo maestro d'arte è il pittore Giovanni Bellini.,Giovanni Bellini è colui che ha guidato Ferdinando nell'arte.
7,Qual è la ragione principale per cui Giustino si allontana dalla famiglia?,Si allontana per seguire la sua vocazione religiosa.,La sua decisione di prendere i voti lo porta lontano dai suoi cari.
7,Dove viene esposto per la prima volta il quadro di Ferdinando Ducastel?,Il dipinto viene presentato all'Esposizione Universale di Parigi.,La sua prima mostra pubblica è all'Esposizione di Parigi.
7,Qual è il vero nome della Viscontessa d'Orbeil prima del matrimonio?,Il suo nome da nubile è Isabella Rossi.,"Prima di sposarsi, era conosciuta come Isabella Rossi."
8,Chi è il tutore legale di Clara dopo la morte dei suoi genitori?,"È lo zio Alberto, fratello di sua madre.","Lo zio Alberto, che si prende cura di lei dopo la tragedia."
8,Qual è il nome della città dove si svolge la maggior parte della storia?,La storia è ambientata principalmente nella città di Veridia.,Veridia è la città centrale degli eventi del romanzo.
8,"Quale segreto nasconde il vecchio giardiniere, Pietro, riguardo al testamento del Barone?",Pietro sa che il testamento originale è stato falsificato.,Il giardiniere Pietro è a conoscenza della manipolazione del testamento del Barone.
8,Chi salva la vita a Marco durante l'incendio alla villa?,"È stata Sofia, la cameriera, a portarlo in salvo.","Sofia, la domestica, lo ha tratto in salvo dalle fiamme."
10,Qual è il motivo principale per cui Federico lascia la sua città natale?,Federico parte per sfuggire a un passato doloroso.,La sua partenza è dovuta al desiderio di allontanarsi da ricordi traumatici.
10,Cosa rappresenta il medaglione che Isalina porta sempre con sé?,Il medaglione è un ricordo della madre defunta di Isalina.,Simboleggia il legame di Isalina con la sua madre scomparsa.
10,Qual è l'attività a cui Giustino Victor si dedica dopo gli eventi principali?,Giustino Victor si ritira in campagna per dedicarsi alla pittura.,"Dopo le vicende, Giustino Victor trova rifugio nell'arte in un luogo isolato."
10,Quale impatto ha la rivelazione di Zenaide sulla famiglia Horms?,La rivelazione di Zenaide provoca uno scandalo che divide la famiglia Horms.,La verità svelata da Zenaide causa una profonda rottura tra i membri della famiglia Horms.
11,Qual è la ragione principale della fuga di Federico Lennois?,Federico fugge per evitare un matrimonio forzato.,La sua fuga è motivata dal rifiuto di un matrimonio combinato.
11,Chi è il personaggio che cerca di ostacolare maggiormente i piani di Federico?,Il Marchese de Valois è il principale oppositore di Federico.,Federico deve affrontare l'opposizione del Marchese de Valois.
11,In quale città Federico Lennois trova rifugio dopo la sua fuga?,Federico si rifugia nella città di Lione.,"Dopo la fuga, Federico trova asilo a Lione."
11,Qual è il vero nome di Federico Lennois prima della sua fuga?,Il suo nome di nascita è Federico de Montaigne.,"Prima di fuggire, Federico si chiamava Federico de Montaigne."
12,Che professione svolgeva il signor Paillard?,Era un mercante d'arte.,Il suo mestiere era quello di commerciante di opere d'arte.
12,Dove si sono incontrati per la prima volta Federico Lennois e Lucia?,Si sono conosciuti a un ballo a Parigi.,Il loro primo incontro è avvenuto durante una festa danzante nella capitale francese.
12,Perché Eduardo ha avuto un alterco con Giustino Victor e Augusto?,Perché non voleva che frequentassero Lucia.,Il litigio è scaturito dal suo disappunto per la loro vicinanza a Lucia.
12,Da quale città proveniva Carlotta prima di incontrare il signor Paillard?,Era originaria di Lione.,La sua città natale era Lione.
13,Qual è la professione di Federico Lennois?,È un pittore.,Svolge l'attività di artista.
13,Qual è la causa del malore di Ferdinando Ducastel?,È stato colpito da un infarto.,Ha avuto un attacco cardiaco.
13,Qual è il ruolo di Lucia nella vita di Eduardo Horms?,È la sua compagna.,È la sua fidanzata.
13,Qual è il tipo di attività commerciale del signor Paillard?,Gestisce una galleria d'arte.,È il proprietario di uno spazio espositivo per opere d'arte.
14,In quale città si trasferisce Ferdinando Ducastel dopo le sue sventure?,Si trasferisce a Parigi per ricominciare.,Va a vivere a Parigi per iniziare una nuova vita.
14,Quale segreto custodisce la Viscontessa d'Orbeil riguardo al suo vero figlio?,Custodisce il segreto sull'identità del suo vero figlio.,Tiene nascosta la verità sull'identità del suo erede.
14,Qual è il ruolo di Giustino nella casa della famiglia d'Orbeil?,Giustino è il maggiordomo della famiglia d'Orbeil.,Svolge la funzione di maggiordomo per i d'Orbeil.
14,Come si conclude la vicenda di Federico Lennois dopo la sua follia?,Federico Lennois viene ricoverato in un ospedale psichiatrico.,Viene internato in una clinica per malati mentali.
15,Chi è il fratello di Laura?,"È Giovanni, il giovane pittore","Giovanni, l'artista, è suo fratello"
15,Dove si trova il diario segreto di Isabella?,Nascosto sotto le assi del pavimento della sua stanza,Sotto il pavimento della sua camera da letto
15,"Qual è la professione di Pietro, il padre di Anna?",È un orologiaio molto abile,Fa l'orologiaio nel villaggio
15,Perché il Dottor Bianchi si trasferisce a Villa Serena?,Per studiare una rara malattia,Per ricercare una patologia insolita
