Batch,Testo,Risposta1,Risposta2
5,Qual è il legame tra Rafa e Loretta?,Rafa e Loretta sono fratelli.,Sono uniti da un vincolo di parentela fraterna.
5,Quale decisione importante prende Tatiana Ruskaia riguardo alla sua carriera?,Tatiana Ruskaia decide di abbandonare la sua professione.,Sceglie di ritirarsi dal suo lavoro.
5,Qual è il principale obiettivo di Rigo all'inizio del romanzo?,Rigo cerca vendetta per un torto subito.,Il suo scopo iniziale è vendicarsi.
6,Qual è il vero motivo per cui il Conte Fabrizio si oppone al matrimonio di sua figlia Isabella?,Il Conte Fabrizio teme che il matrimonio possa compromettere i suoi affari segreti.,La sua opposizione deriva dalla paura che l'unione di Isabella riveli le sue attività illecite.
6,"Dove si incontrano per la prima volta i protagonisti, Anna e Luca?",Si incontrano per la prima volta durante una festa di beneficenza al Castello di Valmontone.,Il loro primo incontro avviene a un evento caritatevole tenutosi nel Castello di Valmontone.
6,Qual è l'oggetto che il vecchio marinaio Pietro cerca disperatamente per tutta la vita?,Pietro è alla ricerca di una bussola antica che si dice indichi un tesoro perduto.,L'oggetto della sua incessante ricerca è una vecchia bussola legata a una leggenda di un tesoro.
6,Chi rivela a Giulia il segreto sulla vera identità di sua madre?,"Il segreto viene svelato a Giulia dalla sua anziana zia Marta, poco prima di morire.","È la zia Marta, in punto di morte, a rivelare a Giulia la verità sulle origini di sua madre."
7,Qual è la professione di Marco?,Marco è un architetto.,Marco svolge la professione di architetto.
7,Dove si trasferisce la famiglia Rossi alla fine del romanzo?,La famiglia Rossi si sposta a Milano.,I Rossi si trasferiscono nella città di Milano.
7,Qual è il motivo principale per cui Anna lascia il suo lavoro?,Anna si licenzia per seguire la sua passione per la pittura.,La ragione del licenziamento di Anna è dedicarsi all'arte.
7,Chi aiuta il protagonista a scoprire la verità sul mistero?,"Il protagonista riceve aiuto da un vecchio amico, Luca.","Luca, un amico di vecchia data, assiste il protagonista nella scoperta."
8,Quale decisione prende Arrigo riguardo a Tatiana?,Decide di partire con lei.,Sceglie di lasciare la città per seguirla.
8,Qual è il destino finale di Cardo nel romanzo?,Viene esiliato dalla comunità.,È costretto a lasciare il paese.
8,Quale oggetto importante Clelia cerca di recuperare?,Il medaglione di famiglia.,Un antico gioiello ereditato.
8,Per quale motivo Stefano si reca nella località di campagna di Valleverde?,Per nascondersi dai suoi inseguitori.,Cerca rifugio dalle minacce che lo perseguitano.
9,Qual è la sorte finale di Marco dopo il grave atto che ha commesso?,Viene arrestato e imprigionato,Finisce in carcere per le sue azioni
9,Arrigo riesce a sposare la figlia di Riotti?,"No, il matrimonio non si celebra",La loro unione viene impedita
9,Qual è il motivo principale per cui Lazzara lascia il fiume?,Cerca una nuova vita lontano dal suo passato,Vuole ricominciare in un luogo diverso
9,Chi aiuta Clara a scoprire il grave atto di Marco?,Un testimone anonimo le fornisce le prove,Riceve informazioni cruciali da una fonte segreta
10,Qual è la professione di Arrigo?,Arrigo è un fantino.,Arrigo lavora come fantino nelle corse dei cavalli.
10,Rigo e Isabella riescono a stare insieme alla fine del romanzo?,"Sì, Rigo e Isabella superano gli ostacoli e si uniscono.","Alla fine del romanzo, il loro amore trionfa e restano insieme."
10,Chi vince la corsa principale all'ippodromo?,Arrigo vince la corsa decisiva.,Il fantino Arrigo si aggiudica la vittoria nella gara più importante.
10,Qual è il ruolo di Beppe Cianella nella vita di Arrigo?,Beppe Cianella è il mentore e allenatore di Arrigo.,Beppe Cianella guida Arrigo nel suo percorso come fantino e figura paterna.
11,Quale nome assume Mattia Pascal dopo la sua presunta morte?,Adriano Meis,Il suo nuovo nome è Adriano Meis
11,Quale evento fortuito permette a Mattia Pascal di cambiare vita?,La vincita alla lotteria,Vince una grande somma alla lotteria
11,In quale città Mattia Pascal si reca per la prima volta dopo aver lasciato Miragno?,A Montecarlo,Si dirige a Montecarlo
11,Qual è la principale limitazione che Mattia Pascal incontra vivendo come Adriano Meis?,Non può avere un'identità legale,Non possiede documenti ufficiali
12,Qual è l'attività principale di Arrigo?,Arrigo si dedica al gioco d'azzardo,La sua occupazione principale è il gioco
12,In quale città si svolge la maggior parte della storia?,La vicenda è ambientata a Roma,Gran parte del romanzo si svolge nella capitale italiana
12,Qual è la conseguenza principale della rovina finanziaria di Arrigo?,Arrigo è costretto a lasciare la città,La sua rovina lo porta ad abbandonare il luogo in cui vive
12,Chi è Clara nel contesto della vita di Arrigo?,È la sua compagna,Clara è la donna con cui Arrigo ha una relazione
13,Chi è il migliore amico di Stefano?,"È Marco, un suo vecchio compagno di scuola.","Il suo amico più fidato è Marco, che conosce dai tempi della scuola."
13,Quale importante decisione prende Clara verso la fine del romanzo?,Decide di lasciare il suo lavoro per dedicarsi alla pittura.,Sceglie di abbandonare la sua professione per seguire la sua passione artistica.
13,Dove si incontrano Arrigo e Loretta dopo molti anni?,Si ritrovano nella vecchia piazza del loro paese natale.,Il loro ricongiungimento avviene nella piazza principale della loro città d'origine.
13,Qual è la principale causa del conflitto tra Stefano e Mercedes?,Il loro disaccordo nasce da una disputa sull'eredità familiare.,La lite tra loro è scatenata da una contesa riguardo ai beni di famiglia.
14,Chi è la donna a cui il giovane invia lettere?,"È Clara, la protagonista del romanzo.",La destinataria delle lettere è Clara.
14,Qual è il nome della città in cui si reca il fratello?,Il fratello si dirige a Valleverde.,La destinazione del fratello è la città di Valleverde.
14,Qual è il problema principale che Rafa Giuliani deve affrontare?,Rafa deve risolvere un debito di gioco.,Il problema di Rafa Giuliani è un debito accumulato al gioco.
14,Di cosa ha paura il personaggio maschile che parla con Clara?,Teme di rovinare la reputazione di Clara.,Il suo timore è di compromettere l'onore di Clara.
15,Qual è il motivo principale per cui Marco decide di tornare nella sua città natale?,Marco torna per indagare sulla misteriosa scomparsa di sua sorella.,Il suo ritorno è motivato dalla volontà di scoprire la verità dietro la sparizione della sorella.
15,Chi è il personaggio che aiuta Clara a fuggire dalla villa del Dottor Rossi?,"È il vecchio giardiniere, Giovanni, che le fornisce un passaggio sicuro.","Giovanni, il giardiniere anziano, la assiste nella fuga dalla residenza."
15,In quale luogo segreto Sofia nasconde il diario che contiene informazioni cruciali?,Lo nasconde dietro una falsa parete nella biblioteca di famiglia.,Il diario è celato in un compartimento segreto dietro una libreria nella biblioteca.
15,Qual è la professione di Arrigo prima di ritirarsi presso l'affittacamere?,Arrigo era un noto professore universitario di storia antica.,"Prima del suo ritiro, Arrigo esercitava la professione di docente universitario di storia."
