Batch,Testo,Risposta1,Risposta2
11,Qual è il rapporto tra Crispino Colla e il dottor Augusto?,Crispino Colla è l'apprendista nel laboratorio del dottor Augusto.,Egli lavora come allievo sotto la guida del dottor Augusto.
11,Qual è il principale ostacolo che Diego Corona deve affrontare?,Diego Corona deve superare le difficoltà economiche che affliggono la sua famiglia.,Il suo maggiore problema è la precarietà finanziaria della sua condizione familiare.
11,Dove si svolge la maggior parte degli eventi del romanzo?,La narrazione si concentra principalmente nella città di Milano.,Gran parte della storia ha luogo nella metropoli milanese.
12,Dove vanno a vivere Annibale e Tizia dopo il loro matrimonio?,Si trasferiscono in una nuova città,Vanno ad abitare in un'altra località
12,Che lavoro fa il dottor Augusto?,È uno psicologo,Svolge la professione di terapeuta
12,Cosa succede a Diego Corona alla fine del libro?,Lascia la narratrice,Si separa dalla narratrice
12,La narratrice riesce a superare le sue difficoltà personali?,"Sì, trova un modo per affrontarle","Sì, riesce a risolverle"
13,Qual è il legame di parentela tra la narratrice e Tizia?,La narratrice è la sorella di Tizia.,Tizia è la sorella della narratrice.
13,Qual è la professione di Annibale Codicini?,Annibale Codicini è un avvocato.,La sua professione è quella di avvocato.
13,Tizia accetta la proposta di matrimonio di Diego Corona?,"No, Tizia rifiuta la proposta.",La proposta di Diego Corona non viene accettata da Tizia.
13,Dove viene ritrovata la medaglia?,La medaglia viene ritrovata nel giardino di casa.,Il ritrovamento della medaglia avviene nel giardino della residenza.
