Batch,Testo,Risposta1,Risposta2
5,Qual è il significato del dipinto di Cristo con le pupille velate?,Il dipinto simboleggia la sofferenza e la cecità di fronte alla guerra.,Rappresenta il dolore e l'incapacità di vedere la verità durante il conflitto.
5,Dove si rifugia la comunità di Beatus durante il conflitto?,Si nascondono nelle montagne vicine per sfuggire ai combattimenti.,Cercano riparo tra le alture circostanti per evitare la guerra.
6,Quale tipo di vita Beatus decide di abbracciare?,Beatus sceglie una vita di isolamento e contemplazione.,"Beatus opta per un'esistenza ritirata, dedicata alla riflessione."
6,Come interagisce l'uomo guercio con Beatus?,L'uomo guercio sfida le convinzioni di Beatus durante i dibattiti.,L'uomo guercio è un antagonista intellettuale di Beatus.
6,Qual è il tema centrale dei dibattiti intellettuali di Beatus Renatus?,I dibattiti vertono sulla natura della verità e della conoscenza umana.,Il fulcro delle discussioni è la ricerca della verità e i limiti della ragione.
6,Come influenza il destino dell'uomo guercio la vita di Beatus?,Il destino dell'uomo guercio spinge Beatus a riconsiderare le sue certezze.,La fine dell'uomo guercio provoca in Beatus una profonda crisi esistenziale.
8,"Qual è la professione di Marco, il fratello di Sofia?",Marco è un falegname nel villaggio di Valchiara.,La professione di Marco è quella di artigiano del legno a Valchiara.
8,Dove si trova il nascondiglio segreto del gruppo di ribelli guidato da Elara?,Il nascondiglio dei ribelli di Elara è situato nelle antiche rovine del Castello di Roccanera.,Il gruppo di Elara si rifugia nelle rovine del Castello di Roccanera.
8,Chi è il vero erede al trono del Regno di Eldoria?,"Il vero erede al trono di Eldoria è il principe perduto, Arthur.",Arthur è il legittimo successore al trono del Regno di Eldoria.
8,Qual è il nome della spada leggendaria che il protagonista deve recuperare?,La spada leggendaria che il protagonista deve trovare si chiama 'Lama del Sole'.,Il nome della spada che il protagonista cerca è 'Lama del Sole'.
9,Quale aiuto offre Pasquà a Beatus Renatus?,Pasquà fornisce a Beatus Renatus informazioni cruciali per la sua missione.,Pasquà assiste Beatus Renatus con dettagli importanti per il suo incarico.
9,Chi si oppone attivamente alla missione di Beatus Renatus?,Un gruppo di funzionari corrotti cerca di sabotare il lavoro di Beatus Renatus.,La missione di Beatus Renatus è ostacolata da alcuni burocrati disonesti.
9,Qual è l'obiettivo principale della missione affidata a Beatus Renatus?,Beatus Renatus deve indagare su un caso di corruzione all'interno del governo.,L'incarico di Beatus Renatus consiste nello scoprire la verità su illeciti governativi.
9,Qual è il destino finale della signora Alice?,La signora Alice riesce a trovare pace e a ricostruire la sua vita dopo le sue perdite.,"Dopo le avversità, la signora Alice trova serenità e ricomincia da capo."
10,Qual è l'origine di Beatus prima di incontrare Scolastica?,Beatus è un angelo inviato sulla Terra.,Beatus è un messaggero divino con un compito specifico.
10,Chi si prende cura del figlio di Scolastica dopo gli eventi principali?,Beatus si prende cura del figlio di Scolastica.,Il figlio di Scolastica viene affidato alla protezione di Beatus.
10,Qual è la principale difficoltà che affligge Scolastica all'inizio del romanzo?,Scolastica è in una condizione di povertà e abbandono.,Scolastica affronta gravi difficoltà economiche e solitudine.
10,Qual è il compito principale di Beatus riguardo a Scolastica e suo figlio?,Il compito di Beatus è aiutare Scolastica e suo figlio.,Beatus è stato inviato per proteggere e guidare Scolastica e il bambino.
11,Qual è l'obiettivo principale di Beatus?,Beatus cerca di risolvere il mistero dell'omicidio della Contessa.,Il suo scopo è scoprire la verità dietro la morte della Contessa.
11,Qual è il legame tra Pasquà e la Contessa?,Pasquà era il giardiniere della Contessa e suo confidente.,Era il custode del giardino della Contessa e una persona di fiducia.
11,Qual è il significato del giardino segreto della Contessa?,Il giardino segreto custodisce un indizio cruciale per l'omicidio.,È il luogo dove si trova la prova fondamentale per risolvere il caso.
11,Cosa rivela il pappagallo Loreto a Beatus?,Loreto ripete una frase chiave sentita durante l'omicidio.,Il pappagallo pronuncia parole che sono un indizio fondamentale per Beatus.
12,Qual è il nome della giovane professoressa di italiano?,Si chiama Elena.,Il suo nome è Elena.
12,Qual è la professione di Beatus Renatus?,Beatus Renatus è uno scrittore.,La sua occupazione è quella di scrittore.
12,In quale città si svolge la maggior parte della storia?,La vicenda si svolge a Bellavista.,La città principale della narrazione è Bellavista.
12,Come si chiama l'onesto bolcevico?,Si chiama Pietro.,Il suo nome è Pietro.
13,Qual è la professione principale di Beatus?,Beatus è un monaco.,Beatus svolge il ruolo di monaco.
13,Chi scopre le pitture nell'abside della chiesa?,Le pitture sono scoperte da Beatus.,È Beatus a trovare le pitture nell'abside.
13,Qual è il nome del figlio di Scolastica allevato da Beatus?,Il figlio di Scolastica si chiama Martin.,"Beatus ha allevato un bambino di nome Martin, figlio di Scolastica."
13,Qual è il legame tra Beatus e Scolastica?,Scolastica è la sorella di Beatus.,Beatus è il fratello di Scolastica.
14,Qual è la ragione principale del viaggio di Beatus Renatus?,Beatus Renatus intraprende il suo viaggio per adempiere a una promessa.,Il motivo principale del viaggio di Beatus è l'esecuzione di un voto.
14,Quale evento cruciale segna il legame tra Scolastica e Beatus Renatus?,Un incontro inaspettato in un luogo sacro rafforza il loro legame.,La loro relazione si consolida dopo un appuntamento significativo nel tempio.
14,Chi è il principale antagonista che ostacola i piani di Beatus Renatus?,Il Vescovo Corrado si oppone fermamente alle intenzioni di Beatus.,Le azioni di Beatus sono contrastate dal Vescovo Corrado.
14,Qual è il risultato finale della missione di Beatus Renatus?,Beatus Renatus riesce a fondare un nuovo ordine monastico.,La sua missione culmina con la creazione di una nuova comunità religiosa.
15,Da dove proviene Beatus Renatus?,Beatus Renatus è originario di un piccolo villaggio di montagna.,La sua provenienza è un modesto paese tra le montagne.
15,Qual è il legame tra Pasquà e la serva?,Pasquà è il fratello della serva.,Sono legati da un rapporto di fratellanza.
15,Qual è il nome della dimora principale dove vivono i personaggi?,La dimora principale è conosciuta come Villa dei Cedri.,Si tratta di Villa dei Cedri.
15,Perché Beatus Renatus decide di lasciare il suo villaggio?,Beatus Renatus parte per cercare fortuna in città.,La sua partenza è motivata dalla ricerca di migliori opportunità economiche.
