Batch,Testo,Risposta1,Risposta2
8,Chi cerca di impossessarsi dell'eredità di Francis Webb?,Guy Stein tenta di appropriarsi della fortuna di Francis Webb.,L'obiettivo di Guy Stein è impadronirsi dei beni di Francis Webb.
9,Contro chi è diretta la vendetta di Hulda?,La sua vendetta è rivolta contro il Barone Von Kessel.,Hulda cerca vendetta nei confronti del Barone Von Kessel.
9,"Qual è la ragione principale per cui l'amore di Hulda era un ""doppio segreto""?",Era segreto a causa delle convenzioni sociali dell'epoca.,La segretezza derivava dalla necessità di proteggere la sua reputazione.
9,Qual è il ruolo principale del personaggio definito 'diavolo suggeritore'?,Il suo ruolo è quello di manipolare gli eventi chiave della trama.,Agisce come istigatore delle azioni dei personaggi principali.
9,Qual è l'obiettivo finale della proposta fatta da Evaristo a Gasparal?,L'obiettivo è ottenere il controllo della tenuta di famiglia.,La proposta mira ad assicurarsi la proprietà dei beni ereditari.
10,Qual era la ragione principale per cui Evaristo Grinfieri ideò il suo piano contro Hulda?,Voleva ottenere un vantaggio personale da lei.,Il suo intento era trarre profitto dalla situazione di Hulda.
10,Qual era l'oggetto della ricerca di Fausto Melisardi?,Stava cercando la verità su un evento passato.,Il suo obiettivo era scoprire i fatti reali di una vicenda celata.
10,Quale fu il destino di Hulda dopo gli eventi legati al piano di Evaristo?,Fu costretta a lasciare la sua casa e la sua vita precedente.,Dovette abbandonare la sua esistenza abituale a causa delle macchinazioni.
10,Qual era il ruolo del cocchiere nel trasporto di Hulda?,Era l'incaricato di condurre Hulda in un luogo specifico.,Aveva il compito di trasportare Hulda secondo le istruzioni ricevute.
11,Qual è la ragione principale per cui Hulda si trova in debito?,Hulda ha contratto debiti per sostenere il progetto della nuova linea ferroviaria.,I debiti di Hulda sono legati al finanziamento della costruzione della ferrovia.
11,Qual è la sorte finale del conte Melisardo dopo l'accusa?,Il conte Melisardo viene scagionato dall'accusa di aver ucciso suo figlio.,"Alla fine, il conte Melisardo è dichiarato innocente della morte del figlio."
11,Chi è il principale sostenitore del progetto della nuova linea ferroviaria?,Hulda è la principale promotrice e sostenitrice del progetto ferroviario.,Il progetto della ferrovia è fortemente voluto e appoggiato da Hulda.
11,Qual è il ruolo di Bess nella vita di Hulda?,Bess è la fedele amica e confidente di Hulda.,Bess funge da consigliera e amica intima per Hulda.
12,Qual è il motivo del viaggio di Elara verso le Montagne Grigie?,Elara si reca lì per trovare l'antica Pietra del Sole.,Il suo scopo è recuperare il leggendario artefatto solare.
12,Chi è il vero traditore all'interno della Guardia Reale di Re Theron?,Il traditore è il Capitano Valerius.,Si scopre che il Capitano Valerius è la spia.
12,Cosa succede al villaggio di Oakhaven dopo l'attacco dei predoni?,Il villaggio viene ricostruito con l'aiuto dei rifugiati.,Gli abitanti e i nuovi arrivati lavorano insieme per riedificarlo.
12,Qual è il legame tra la profezia del Vecchio Saggio e il destino di Kael?,La profezia predice che Kael sarà il salvatore del regno.,Il destino di Kael è quello di adempiere la profezia come liberatore.
13,Dove si incontrano per la prima volta Francis Webb e Hulda?,Si incontrano nella città di Genova.,Il loro primo incontro avviene a Genova.
13,Qual era il vero motivo per cui Riccardo Carassale si unì al piano?,Voleva vendicarsi di Evaristo per un torto passato.,La sua motivazione era la vendetta contro Evaristo.
13,Cosa succede al diario segreto di Hulda alla fine del romanzo?,Viene ritrovato da Francis Webb e rivela la verità.,Francis Webb lo scopre e ne legge i contenuti cruciali.
13,Chi aiuta Evaristo a fuggire dalla prigione?,Un vecchio complice di nome Marco lo assiste nella fuga.,"Marco, un suo alleato di lunga data, lo aiuta a evadere."
14,Qual è l'obiettivo principale di Evaristo nel corso del romanzo?,Cercare vendetta per il torto subito,Ristabilire la sua reputazione e vendicarsi
14,Dove si svolge l'incontro cruciale tra Ben e Hulda?,Si incontrano nella vecchia locanda di periferia,L'incontro decisivo avviene in una locanda fuori città
14,Qual è il legame di Mary con la famiglia di Gar?,Mary è la sorella minore di Gar,"È la parente più stretta di Gar, sua sorella"
14,Qual è la conseguenza principale del furto a New York per Ben?,Ben perde tutti i suoi beni e la sua posizione sociale,Il furto lo rovina finanziariamente e socialmente
15,Qual è il nome dell'organizzazione di cui fa parte il padre di Guy Stein?,L'organizzazione si chiama 'La Loggia Nera'.,Il padre di Guy Stein è membro de 'La Loggia Nera'.
15,Qual è il legame tra Concetta e Riccardo Carassale?,Concetta è la sorella di Riccardo Carassale.,Riccardo Carassale e Concetta sono fratelli.
15,Da dove proviene la famiglia di Guy Stein?,La famiglia di Guy Stein ha origini svizzere.,I parenti di Guy Stein provengono dalla Svizzera.
15,Qual è il segreto della dama di cui parla Evaristo?,La dama ha una relazione segreta con un altro uomo.,Il segreto della dama è che ha un amante.
