Batch,Testo,Risposta1,Risposta2
8,Qual è il destino finale di Andrea nel romanzo?,Andrea muore alla fine della storia.,Il personaggio di Andrea non sopravvive agli eventi finali.
8,Quale evento significativo coinvolge il figlio della narratrice?,Il figlio della narratrice viene affidato alle cure di altri.,Il bambino della protagonista viene allontanato da lei.
8,Qual è il tema principale affrontato dalla narratrice nel corso del romanzo?,La narratrice esplora il tema dell'emancipazione femminile.,Il romanzo si concentra sulla ricerca di libertà e autonomia della protagonista.
9,Chi è Psiche nel romanzo?,È un personaggio che la narratrice incontra,Una figura che la narratrice conosce
9,Qual era la natura del rapporto tra la narratrice e Felice?,Era una relazione tormentata e complessa,Un legame sentimentale difficile e problematico
9,Qual è il ruolo della 'Donna di fede' nella vita della narratrice?,È una figura di riferimento spirituale per la narratrice,Rappresenta una guida morale per la protagonista
9,Cosa cerca la protagonista di 'Una donna' dopo la sua decisione sul matrimonio?,La sua indipendenza personale,L'autonomia e la libertà individuale
10,Quale sacrificio compie la protagonista di 'Una donna' per la sua libertà?,Abbandona il figlio per non rinunciare alla sua indipendenza.,Lascia il suo bambino per poter vivere una vita autonoma.
10,Come si conclude il matrimonio della protagonista di 'Una donna'?,Il matrimonio della protagonista termina con la sua separazione dal marito.,"La protagonista si separa dal marito, ponendo fine alla sua unione coniugale."
10,Quale tipo di lavoro intraprende la protagonista per affermare la sua autonomia in 'Una donna'?,La protagonista inizia a lavorare come giornalista per sostenere se stessa.,"Per raggiungere l'indipendenza, la protagonista si dedica all'attività giornalistica."
10,Qual è la principale critica sociale mossa dalla protagonista nel romanzo 'Una donna'?,Critica la condizione di sottomissione e mancanza di diritti delle donne del suo tempo.,Denuncia la posizione subordinata e la privazione di libertà delle donne nella società.
11,"Qual era il ruolo di Marco nella vita della protagonista, prima della sua partenza?",Era il suo mentore e guida spirituale.,Fungeva da suo consigliere e ispiratore.
11,Qual era il significato del medaglione che la protagonista portava sempre con sé?,Rappresentava il ricordo della madre defunta.,Simboleggiava il legame indissolubile con la sua famiglia d'origine.
11,Per quale motivo il padre della protagonista si oppose al suo matrimonio con Luca?,Non riteneva Luca degno della figlia a causa della sua condizione sociale.,Giudicava Luca inadatto per la sua posizione economica inferiore.
11,Come si conclude la ricerca della protagonista per la verità sulla scomparsa di sua sorella?,Scopre che la sorella aveva inscenato la sua scomparsa per iniziare una nuova vita.,Viene a sapere che la sorella aveva simulato la sua sparizione per ricominciare altrove.
12,Qual è il legame tra la narratrice e Rina?,Sono sorelle.,Condividono un legame fraterno.
12,Qual è la professione di Felice?,Felice è un pittore.,La sua professione è quella di artista.
12,Cosa succede a Psiche verso la fine del romanzo?,Psiche scompare misteriosamente.,La sua presenza si dissolve senza spiegazioni.
12,Quale decisione importante prende la narratrice riguardo al suo futuro?,Decide di lasciare la sua città natale.,Sceglie di trasferirsi lontano da casa.
