Book,ParagraphIndex,Question,AnswerA,AnswerB
Alle_porte_ditalia,14,Quale evento storico contribuì alla diffusione della lingua francese tra i Valdesi?,La peste del 1630,L'epidemia di peste del milleseicentotrenta
Alle_porte_ditalia,14,Chi morì con Mathurin nella piazza maggiore di Carignano?,Giovanna,La sua compagna Giovanna
Alle_porte_ditalia,14,Da quale città provenivano le commissioni per estirpare l'eresia valdese?,Da Torino,Dalla città di Torino
,,,,
Alle_porte_ditalia,15,Di dove è nativo il signor Bonnet?,Da Angrogna,Dalla valle di Angrogna
Alle_porte_ditalia,15,Quando fu fondato il tempio di Angrogna?,Verso la metà del sedicesimo secolo,Nel XVI secolo
Alle_porte_ditalia,15,Chi usava la Ghiesia d'la tana come rifugio?,I Valdesi,I Valdesi durante le persecuzioni
,,,,
Alle_porte_ditalia,16,Dove si tenne il Sinodo d'Angrogna?,A Cianforan,Nel luogo chiamato Cianforan
Alle_porte_ditalia,16,Chi fu il capitano della 'rientrata gloriosa'?,Enrico Arnaud,Il pastore Enrico Arnaud
Alle_porte_ditalia,16,Chi firmò l'atto di emancipazione dei Valdesi?,Carlo Alberto,Il re Carlo Alberto
,,,,
Alle_porte_ditalia,17,Dove si trova la porta di Pra del Torno?,Nella val d'Angrogna,Nel tratto più angusto della val d'Angrogna
Alle_porte_ditalia,17,Chi combatteva nella val d'Angrogna?,I Valdesi e gli eserciti cattolici,I montanari Valdesi contro gli eserciti cattolici
Alle_porte_ditalia,17,Quale principio seguivano i Valdesi riguardo alla vita umana?,L'inviolabilità della vita umana,Il principio dell'inviolabilità della vita
,,,,
Alle_porte_ditalia,18,Chi ha mostrato le pietre storiche ai viaggiatori ad Angrogna?,Il signor Bonnet,Il pastore Bonnet
Alle_porte_ditalia,18,Come si chiama la piazza dove i viaggiatori videro le pietre storiche?,La piazzetta di Angrogna,Angrogna
,,,,
Alle_porte_ditalia,19,Da quale città fuggì la contessa di Verrue?,Da Torino,Dalla città di Torino
,,,,
Alle_porte_ditalia,20,In quale luogo la marchesa visse i suoi mesi più infelici?,A Moncalieri,Nella città di Moncalieri
Alle_porte_ditalia,20,Cosa accadde all'uomo amato dalla marchesa prima di morire?,Perse la ragione,Ricadde nell'infanzia
Alle_porte_ditalia,20,In quale luogo la marchesa e l'uomo trascorsero dolci serate?,Al Valentino,Nel parco del Valentino
,,,,
Alle_porte_ditalia,21,Dove si svolge la battaglia menzionata?,All'Assietta,Sul monte Assietta
Alle_porte_ditalia,21,Chi porta la notizia della vittoria a Carlo Emanuele?,Il Conte di Panissera,Panissera
,,,,
Alle_porte_ditalia,22,Dove sono diretti i passeggeri del treno?,Al mercato di Cavour,"A Cavour, per il mercato"
Alle_porte_ditalia,22,Qual è la natura geologica della rocca di Cavour?,È l'ultimo sperone del contrafforte alpino,È una punta del contrafforte alpino
,,,,
Alle_porte_ditalia,23,Quale soprannome era dato al generale Lesdiguières nella pianura pinerolese?,L'Attila della pianura pinerolese,L'Attila della zona di Pinerolo
Alle_porte_ditalia,23,Chi scacciò l'esercito di Carlo Emanuele I da Vigone?,Gli ugonotti del generale Lesdiguières,Il generale Lesdiguières con i suoi ugonotti
Alle_porte_ditalia,23,Chi salvò il paese di Osasco nel 1705?,Una governante savoiarda dei conti di Cacherano,La governante dei conti di Cacherano
,,,,
Alle_porte_ditalia,24,A quale famiglia appartiene la cascina solitaria menzionata?,Alla famiglia Benso,Ai Benso
Alle_porte_ditalia,24,Cosa fece fare il conte Camillo intorno alla cascina?,Degli scavi,Scavi per cercare oggetti antichi
Alle_porte_ditalia,24,Cosa fu trovato negli scavi della cascina?,Una grossa palla da cannone,Una palla da cannone di venti chilogrammi
,,,,
Alle_porte_ditalia,25,Dove è diretto il galantuomo con la sua famiglia?,A Bonosaire,Verso Buenos Aires
Alle_porte_ditalia,25,Chi è il Colonnello Federico Queirazza?,Il Comandante del 2º Reggimento alpino,Il comandante del Secondo Reggimento alpino
Alle_porte_ditalia,25,Da dove è venuta la signora Penrith?,Da Torino,Dalla città di Torino
,,,,
Alle_porte_ditalia,26,Da quali valli provengono i giovani del battaglione Col di Tenda?,Dalle valli dove scorrono il Gesso e la Vermenagna,Dalle valli del Gesso e della Vermenagna
Alle_porte_ditalia,26,Chi incontravano spesso i giovani pastori di Vallasco e Valdieri?,Vittorio Emanuele,Il re Vittorio Emanuele
Alle_porte_ditalia,26,Come reagisce un aspirante Alpino se gli viene detto che è troppo debole?,Si fa rosso dal dispetto e dalla vergogna,Si arrossisce per dispetto e vergogna
,,,,
Alle_porte_ditalia,27,Chi è Pietro Micca?,Il salvatore di Torino,Colui che salvò Torino
Alle_porte_ditalia,27,Quale artista è associato alla Val Sesia?,Gaudenzio Ferrari,L'artista Gaudenzio Ferrari
Alle_porte_ditalia,27,Da quale valle provengono i muratori e minatori descritti?,Dalla Val del Cervo,Dalla valle del Cervo
,,,,
Alle_porte_ditalia,28,Quale regione viene definita 'amorosa marca' dal Rogelli?,La Marca Trevigiana,La Marca di Treviso
Alle_porte_ditalia,28,Quale evento storico accadde a Treviso vent'anni prima?,L'ingresso dell'esercito italiano,L'arrivo del primo drappello italiano
Alle_porte_ditalia,28,Quale celebre artista è legato alla città di Pieve?,Tiziano,Il pittore Tiziano Vecellio
,,,,
Alle_porte_ditalia,29,In quale città si trova la Scuola di Cavalleria menzionata?,A Pinerolo,Nella città di Pinerolo
Alle_porte_ditalia,29,Qual era la professione principale del maggiore descritto?,Istruttore d'equitazione,Maestro di equitazione
Alle_porte_ditalia,29,Come è morto l'ufficiale di cui si narra la storia?,È stato ucciso dal suo cavallo,Il suo cavallo gli è caduto addosso
,,,,
Alle_porte_ditalia,30,Da quanti anni il vecchio prete compie la sua passeggiata serale?,Da più di trent'anni,Per oltre trent'anni
Alle_porte_ditalia,30,Quale canzone solfeggia il soldato toscano?,"_Dove vai, dove vai, ricciolina_","La canzone '_Dove vai, dove vai, ricciolina_'"
,,,,
