Book,ParagraphIndex,Question,AnswerA,AnswerB
IL MONDO È ROTONDO ROMANZO,8,Come si chiama il pappagallo di Beatus?,Loreto,Si chiama Loreto
IL MONDO È ROTONDO ROMANZO,8,Cosa accadde all'Università nel maggio 1915?,Fu chiusa,Venne chiusa
,,,,
IL MONDO È ROTONDO ROMANZO,9,Come si chiama il personaggio che incontra le meretrici?,Beatus,L'uomo chiamato Beatus
IL MONDO È ROTONDO ROMANZO,9,In quale città si trova Beatus?,A Napoli,Nella città di Napoli
IL MONDO È ROTONDO ROMANZO,9,Quale attività si esercita nella via dove cammina Beatus?,Il meretricio,La prostituzione
,,,,
IL MONDO È ROTONDO ROMANZO,10,Qual era la professione della meretrice prima della guerra?,Era una corista,Lavorava come corista in operette
IL MONDO È ROTONDO ROMANZO,10,In quale città si svolge la scena descritta?,A Napoli,Nella città di Napoli
IL MONDO È ROTONDO ROMANZO,10,Per quale motivo la donna è diventata una meretrice?,A causa della guerra,Perché la guerra le ha ucciso l'amante
,,,,
IL MONDO È ROTONDO ROMANZO,11,La chiesa in cui si trova Beatus è ancora consacrata?,"No, non è più consacrata",Non è più un luogo sacro
IL MONDO È ROTONDO ROMANZO,11,Qual è la condizione del muro della chiesa secondo il muratore?,Il muro è staccato,Un muro della chiesa è distaccato
IL MONDO È ROTONDO ROMANZO,11,Cosa chiede Beatus al muratore riguardo i lavori nella chiesa?,Se intendono restaurare o abbattere,Se la chiesa verrà restaurata o demolita
,,,,
IL MONDO È ROTONDO ROMANZO,12,Dove si trova Beatus dopo essere uscito dalla chiesa?,Sulla piazza del mercato,Nella piazza del mercato
IL MONDO È ROTONDO ROMANZO,12,Quale esercito vede Beatus passare sulla Via Emilia?,L'esercito d'Italia,I soldati d'Italia
IL MONDO È ROTONDO ROMANZO,12,Chi è il personaggio storico ricordato dal piedestallo nella piazza?,Giulio Cesare,Cesare
,,,,
IL MONDO È ROTONDO ROMANZO,13,Chi è Scolastica per Beatus Renatus?,La sua serva,La domestica di Beatus Renatus
IL MONDO È ROTONDO ROMANZO,13,Come si chiama il gatto di Beatus Renatus?,Biagino,Il gatto Biagino
IL MONDO È ROTONDO ROMANZO,13,Quale animale parla nell'estratto?,Il pappagallo Loreto,"Loreto, il pappagallo"
,,,,
IL MONDO È ROTONDO ROMANZO,14,Chi ha mangiato il rosignolo?,Biagino,Il gatto Biagino
IL MONDO È ROTONDO ROMANZO,14,Perché Renatus teneva un rosignolo in gabbia?,Non poteva andare nella foresta a sentirli cantare,Le sue occupazioni gli impedivano di andare in una foresta
IL MONDO È ROTONDO ROMANZO,14,Cosa è successo al gallo?,Non c'era più sulla terrazza,Era scomparso dalla terrazza
,,,,
IL MONDO È ROTONDO ROMANZO,15,Qual è la vera identità del 'cavaliere' che parla con Beatus?,È la personificazione del Male,Rappresenta il Male
IL MONDO È ROTONDO ROMANZO,15,A quale conflitto storico si riferisce il 'cavaliere' nel suo discorso?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
IL MONDO È ROTONDO ROMANZO,15,Qual è la professione di Beatus?,È un professore universitario,Insegna all'università
,,,,
IL MONDO È ROTONDO ROMANZO,16,Chi dichiara il giovane indispensabile?,Beatus,Il personaggio di Beatus
IL MONDO È ROTONDO ROMANZO,16,Qual è l'atteggiamento del giovane verso la vita?,La mangia,La divora
IL MONDO È ROTONDO ROMANZO,16,Quale celebre colle romano è citato nel Capitolo XV?,Il Campidoglio,Capitolium
,,,,
IL MONDO È ROTONDO ROMANZO,17,Chi è indispensabile per Beatus?,Scolastica,La donna Scolastica
IL MONDO È ROTONDO ROMANZO,17,Come si chiama l'epidemia menzionata?,La spagnola,L'epidemia della spagnola
IL MONDO È ROTONDO ROMANZO,17,Chi morì a causa dell'epidemia vicino alla casa di Beatus?,Il salumaio,Il colosso salumaio
,,,,
IL MONDO È ROTONDO ROMANZO,18,Chi ha rubato il gallinaccio dalla pentola?,Biagino,"L'animale di Beatus, Biagino"
IL MONDO È ROTONDO ROMANZO,18,Chi tira calci a Biagino sulle scale?,Il marchese,"Il vicino di casa, il marchese"
IL MONDO È ROTONDO ROMANZO,18,Come considera Beatus l'animale Biagino?,La sua proprietà,Come sua proprietà personale
,,,,
IL MONDO È ROTONDO ROMANZO,19,Cosa notò Beatus riguardo alla Diva durante lo spettacolo?,Lo stupore generale che la Diva suscitava.,Che tutti la conoscevano e ne erano stupiti.
IL MONDO È ROTONDO ROMANZO,19,Quale differenza notò Beatus tra la folla del cinematografo e quella della sala da tè?,La folla della sala da tè era composta da ufficiali e donne eleganti.,"Nel cinematografo c'erano soldati, mentre nella sala da tè ufficiali e donne."
IL MONDO È ROTONDO ROMANZO,19,Cosa indicava la bimbetta a Beatus nella sala da tè?,"Le meraviglie come penne, pennacchi e scarpette con diamanti.","Dettagli di moda come penne, scarpette e cappe nere."
,,,,
IL MONDO È ROTONDO ROMANZO,20,Chi ha interrotto Beatus mentre parlava degli animalini?,Il campanelluzzo,Una campanella
IL MONDO È ROTONDO ROMANZO,20,Qual è il nome del libro che la signora fa leggere alla bimbetta?,Giannettino,Il libro Giannettino
IL MONDO È ROTONDO ROMANZO,20,Cosa ha notato Beatus riguardo a Scolastica?,Che cresceva in circonferenza,Un aumento della sua circonferenza
,,,,
IL MONDO È ROTONDO ROMANZO,21,Cosa ferma Beatus?,La sveglia,L'orologio a sveglia
IL MONDO È ROTONDO ROMANZO,21,Chi interrompe Beatus?,Le bimbette per la prima comunione,Le bambine della prima comunione
IL MONDO È ROTONDO ROMANZO,21,Chi entra per prima tra le bimbette?,La scimmietta,La bambina soprannominata scimmietta
,,,,
IL MONDO È ROTONDO ROMANZO,22,Chi sussurra a Beatus durante la messa?,La signora Alice,Alice
IL MONDO È ROTONDO ROMANZO,22,Chi è l'uomo che celebra la messa?,Il sacerdote,Un alto prelato
IL MONDO È ROTONDO ROMANZO,22,Chi spegne la fiamma del cero?,La monacella,La suora
,,,,
IL MONDO È ROTONDO ROMANZO,23,Cosa si forma nel ventre di Scolastica?,Un movimento dell'anima,Una nuova vita
IL MONDO È ROTONDO ROMANZO,23,Chi chiede Beatus a Scolastica di far venire?,L'uomo che l'ha messa incinta,Il padre del bambino
IL MONDO È ROTONDO ROMANZO,23,Qual è la professione del padre del bambino di Scolastica?,È un calzolaio,È un ciabattino
,,,,
IL MONDO È ROTONDO ROMANZO,24,Chi ha mandato a chiamare l'uomo con cui parla Beatus?,Beatus,Il personaggio di Beatus
IL MONDO È ROTONDO ROMANZO,24,Qual è una caratteristica fisica dell'uomo che parla con Beatus?,È guercio,Ha un occhio solo
IL MONDO È ROTONDO ROMANZO,24,Cosa vuole Beatus che l'uomo riconosca?,La sua responsabilità,La propria responsabilità
,,,,
IL MONDO È ROTONDO ROMANZO,25,Cosa ricordava Beatus riguardo alla terra umbra?,Che la gente si vergognava dell'antica gentilezza.,Che gli abitanti si vergognavano della loro antica gentilezza.
IL MONDO È ROTONDO ROMANZO,25,Cosa fece il re dei bolcevichi ai signori?,Portò via loro la vita o li trasformò in balocchi.,Li uccise o li rese come balocchi.
IL MONDO È ROTONDO ROMANZO,25,"Secondo le genti, cosa doveva essere in comune?","Tutti i balocchi, inclusa la donna.",I balocchi e la donna.
,,,,
IL MONDO È ROTONDO ROMANZO,26,Chi è il leader dei bolcevichi?,Il re dei bolcevichi,Il nuovo Messia
IL MONDO È ROTONDO ROMANZO,26,Quale gruppo sociale è favorito dal re dei bolcevichi?,Gli operai della materiale fatica,I lavoratori dei balocchi della vita
IL MONDO È ROTONDO ROMANZO,26,Chi è il personaggio storico menzionato per aver fabbricato un giardino in Oriente?,Il Veglio della Montagna,Il gran Veglio della Montagna
,,,,
IL MONDO È ROTONDO ROMANZO,27,Cosa decide Beatus di fare con il figlio di Scolastica?,Di allevarlo in casa,Di allevarlo personalmente
IL MONDO È ROTONDO ROMANZO,27,Cosa diceva Scolastica della casa?,Che era una tomba,La definiva una tomba
IL MONDO È ROTONDO ROMANZO,27,Come desidera Beatus l'anima del figlio di Scolastica?,Senza interrogativi,Un'anima senza troppi interrogativi
,,,,
IL MONDO È ROTONDO ROMANZO,28,Chi è il 'putelo' di Scolastica?,Il suo bambino,Il figlio di Scolastica
IL MONDO È ROTONDO ROMANZO,28,Qual è il problema principale riguardo all'allattamento del bambino?,La mancanza di latte,Le contadine non vogliono dare il loro latte
IL MONDO È ROTONDO ROMANZO,28,Cosa porta la signora Alice nella stanza del bambino?,Un'immagine sacra,Una statuetta di Santa Rosalia o Sant'Anna
,,,,
IL MONDO È ROTONDO ROMANZO,29,Di quale malattia il giovane dottore ha curato Beatus?,Della febbre spagnola,Della spagnola
IL MONDO È ROTONDO ROMANZO,29,Chi si è ammalato dopo aver curato Beatus?,Il giovane dottore,Il medico giovane
IL MONDO È ROTONDO ROMANZO,29,"Secondo Beatus, quale concetto antico del medico persiste?",Quello dello stregone,Quello del possessore di forze occulte
,,,,
IL MONDO È ROTONDO ROMANZO,30,Chi ha diffuso la calunnia su Beatus?,Il suo segretario,Il segretario di Beatus
IL MONDO È ROTONDO ROMANZO,30,Chi è Scolastica?,La serva,La servotta di Beatus
IL MONDO È ROTONDO ROMANZO,30,Chi ha aperto la porta a Beatus al suo ritorno?,La signora Alice,Alice
,,,,
