Book,ParagraphIndex,Question,AnswerA,AnswerB
Le_avventure_di_pinocchio,12,Chi ordinò l'apertura delle carceri nella città di Acchiappacitrulli?,Il giovane Imperatore,L'Imperatore di Acchiappacitrulli
Le_avventure_di_pinocchio,12,Dove si stava dirigendo Pinocchio dopo essere stato liberato dalla prigione?,Alla Casina della Fata,Verso la casa della Fata
,,,,
Le_avventure_di_pinocchio,13,Chi era il cane da guardia prima di Pinocchio?,Melampo,Il vecchio cane Melampo
Le_avventure_di_pinocchio,13,Quali animali Pinocchio scopre nell'aia?,Faine,Quattro faine
Le_avventure_di_pinocchio,13,Cosa propongono le faine a Pinocchio?,Di prendere otto galline a settimana,Di portare via otto galline ogni settimana
,,,,
Le_avventure_di_pinocchio,14,Chi libera Pinocchio dal collare?,Il contadino,Il padrone dell'aia
Le_avventure_di_pinocchio,14,Cosa trova Pinocchio dove sorgeva la Casina bianca?,Una pietra di marmo,Una lapide di marmo
Le_avventure_di_pinocchio,14,"Perché la Bambina dai capelli turchini è morta, secondo l'iscrizione?",Di dolore per essere stata abbandonata da Pinocchio,A causa del dolore per l'abbandono di Pinocchio
,,,,
Le_avventure_di_pinocchio,15,Chi ha inghiottito il babbo di Pinocchio?,Il Pesce-cane,Il terribile Pesce-cane
Le_avventure_di_pinocchio,15,Come si chiama il paese dove arriva Pinocchio?,Il paese delle Api industriose,Il paese chiamato Api industriose
Le_avventure_di_pinocchio,15,Cosa chiede Pinocchio all'uomo che tira i carretti?,Un soldo,La carità di un soldo
,,,,
Le_avventure_di_pinocchio,16,Chi si rivela essere la donnina misteriosa a Pinocchio?,La Fata dai capelli turchini,La Fata turchina
Le_avventure_di_pinocchio,16,Cosa vuole diventare Pinocchio?,Un bravo ragazzo,Un uomo
Le_avventure_di_pinocchio,16,Come vuole Pinocchio chiamare la Fata?,Mamma,La sua mamma
,,,,
Le_avventure_di_pinocchio,17,Chi diventerà la mamma di Pinocchio?,La Fata,La Fata Turchina
Le_avventure_di_pinocchio,17,"Cosa dovrà fare Pinocchio a partire da domani, secondo la Fata?",Andare a scuola,Frequentare la scuola
Le_avventure_di_pinocchio,17,"Cosa dovrà scegliere Pinocchio, oltre ad andare a scuola?",Un'arte o un mestiere,Una professione o un lavoro
,,,,
Le_avventure_di_pinocchio,18,Chi è il personaggio che i ragazzi vogliono far smettere di studiare?,Pinocchio,Il burattino Pinocchio
Le_avventure_di_pinocchio,18,Quanti ragazzi minacciano Pinocchio?,Sette,Un gruppo di sette ragazzi
Le_avventure_di_pinocchio,18,Quali sono i tre grandi nemici dei ragazzi?,"La scuola, la lezione e il maestro","La scuola, le lezioni e il maestro"
,,,,
Le_avventure_di_pinocchio,19,A chi affidano i Carabinieri il ragazzetto ferito?,Ai pescatori,Ad alcuni pescatori
Le_avventure_di_pinocchio,19,Dove stanno portando Pinocchio i Carabinieri?,Al paese,Verso il paese
Le_avventure_di_pinocchio,19,Chi aizzano i Carabinieri per inseguire Pinocchio?,Un cane mastino,Un grosso mastino
,,,,
Le_avventure_di_pinocchio,20,Cosa intende fare il Pescatore verde a Pinocchio?,Vuole friggerlo in padella,Vuole cucinarlo fritto
Le_avventure_di_pinocchio,20,Chi entra nella grotta mentre il Pescatore verde sta per friggere Pinocchio?,Un grosso cane,Un cane affamato
Le_avventure_di_pinocchio,20,Cosa promette la Fata a Pinocchio per il giorno dopo?,Che diventerà un ragazzo,Che non sarà più un burattino
,,,,
Le_avventure_di_pinocchio,21,Chi risponde a Pinocchio quando bussa alla porta della casa?,La Lumaca,Una grossa Lumaca
Le_avventure_di_pinocchio,21,Chi cerca Pinocchio nella casa?,La Fata,La Fata Turchina
Le_avventure_di_pinocchio,21,In cosa si trasforma il battente della porta?,In un'anguilla viva,In un'anguilla
,,,,
Le_avventure_di_pinocchio,22,Chi è l'amico che tenta Pinocchio?,Lucignolo,Il compagno Lucignolo
Le_avventure_di_pinocchio,22,Come si chiama il paese dove Lucignolo è diretto?,Il Paese dei Balocchi,Il paese senza scuole
Le_avventure_di_pinocchio,22,Perché Pinocchio esita ad andare con Lucignolo?,Ha promesso alla Fata di essere un ragazzo giudizioso,Non vuole tradire la promessa fatta alla Fata
,,,,
Le_avventure_di_pinocchio,23,Qual è la vera natura del ciuchino che Pinocchio cavalca?,È un ragazzo trasformato,È un bambino mutato in asino
Le_avventure_di_pinocchio,23,Quale avvertimento riceve Pinocchio dal ciuchino?,Che i ragazzi che non studiano faranno una brutta fine,Che chi abbandona i libri avrà una fine disgraziata
Le_avventure_di_pinocchio,23,Chi è il padrone del carro su cui viaggia Pinocchio?,L'omino,Il conduttore del carro
,,,,
Le_avventure_di_pinocchio,24,Quale trasformazione subisce Pinocchio al risveglio?,Gli crescono le orecchie da ciuco.,Si ritrova con orecchie asinini.
Le_avventure_di_pinocchio,24,Chi è il personaggio che abita al piano di sopra di Pinocchio?,È la Marmottina.,"La sua vicina, la Marmottina."
Le_avventure_di_pinocchio,24,Cosa fa la Marmottina per Pinocchio quando lo trova in difficoltà?,Gli tasta il polso.,Gli controlla la febbre.
,,,,
Le_avventure_di_pinocchio,25,In quale forma si trova Pinocchio?,È un asino,Ha le sembianze di un ciuchino
Le_avventure_di_pinocchio,25,Cosa è costretto a mangiare Pinocchio?,Fieno e paglia,Paglia tritata e fieno
Le_avventure_di_pinocchio,25,Cosa rimpiange Pinocchio nella sua condizione?,Di non aver studiato,Di non aver continuato a studiare
,,,,
Le_avventure_di_pinocchio,26,Cosa fa Pinocchio nel Circo?,Si esibisce in esercizi di ballo.,Esegue esercizi di ballo e salti.
Le_avventure_di_pinocchio,26,Chi riconosce Pinocchio tra il pubblico?,La Fata.,La sua Fata.
Le_avventure_di_pinocchio,26,Cosa succede quando Pinocchio prova a chiamare la Fata?,Emette un raglio.,Raglia sonoramente.
,,,,
Le_avventure_di_pinocchio,27,Chi inghiotte Pinocchio?,Il Pesce-cane,Il mostro marino
Le_avventure_di_pinocchio,27,Chi incontra Pinocchio all'interno del Pesce-cane?,Un Tonno,Un povero Tonno
Le_avventure_di_pinocchio,27,Di quale malattia soffre il Pesce-cane?,Asma,Soffriva d'asma
,,,,
Le_avventure_di_pinocchio,28,Dove si trovano Pinocchio e Geppetto?,Nello stomaco del Pesce-cane,All'interno del Pesce-cane
Le_avventure_di_pinocchio,28,Come intende Pinocchio fuggire dal Pesce-cane?,Nuotando fuori dalla bocca,Uscendo a nuoto dal mostro
Le_avventure_di_pinocchio,28,Perché il Pesce-cane dorme a bocca aperta?,Perché è vecchio e malato,A causa dell'asma e delle palpitazioni
,,,,
Le_avventure_di_pinocchio,29,Dove si dirigono Pinocchio e Geppetto dopo aver incontrato il Gatto?,Verso una capanna di paglia,Ad una capanna in mezzo ai campi
Le_avventure_di_pinocchio,29,Chi incontrano Pinocchio e Geppetto all'interno della capanna?,Il Grillo-parlante,"Il Grillo-parlante, il padrone della capanna"
Le_avventure_di_pinocchio,29,Chi ricorda a Pinocchio di avergli tirato un manico di martello?,Il Grillo-parlante,"Il Grillo-parlante, il padrone della capanna"
,,,,
Le_avventure_di_pinocchio,30,Cosa vuole comprare Pinocchio al mercato?,Dei vestiti nuovi,"Una giacchettina, un berrettino e un paio di scarpe"
Le_avventure_di_pinocchio,30,Dove si trova la Fata dai capelli turchini?,Allo spedale,In ospedale
Le_avventure_di_pinocchio,30,Che ruolo aveva la Lumaca con la Fata dai capelli turchini?,Era la sua cameriera,Era una cameriera della Fata
,,,,
