    Book,ParagraphIndex,Question,AnswerA,AnswerB
IL RE PREGA ROMANZO,19,Chi ha rivelato il segreto a Bambina?,Padre Piombini,Il padre Piombini
IL RE PREGA ROMANZO,19,Chi era l'altro uomo che conosceva il segreto oltre a padre Piombini?,Il barone Colini,Barone Colini
IL RE PREGA ROMANZO,19,Chi deve incontrare Bambina per usare il segreto?,Il re,Il sovrano
,,,,
IL RE PREGA ROMANZO,20,Chi viene arrestato dagli agenti del conte di Altamura?,Don Diego,Il disgraziato Don Diego
IL RE PREGA ROMANZO,20,Dove viene imprigionato Don Diego?,A S.a Maria Apparente,Nella prigione di S.a Maria Apparente
IL RE PREGA ROMANZO,20,Chi è accusato del ratto di Bambina?,Padre Piombini,Il frate insolente Padre Piombini
,,,,
IL RE PREGA ROMANZO,21,Come erano le orecchie di Ferdinando II?,Erano immense,Aveva orecchie molto grandi
IL RE PREGA ROMANZO,21,Qual era un tratto morale distintivo di Ferdinando II?,Era avaro,La sua avarizia
IL RE PREGA ROMANZO,21,Come veniva descritta la voce di Ferdinando II?,Era chioccia e fessa,Simile a uno squittìo di scimmia
,,,,
IL RE PREGA ROMANZO,22,Chi voleva uccidere Orsini?,Napoleone III,L'imperatore Napoleone III
IL RE PREGA ROMANZO,22,Dove si riunivano i delegati?,Nel padiglione,In un padiglione a due piani
IL RE PREGA ROMANZO,22,Perché Lady Keith usava il padiglione?,Per leggere e scrivere,Per dedicarsi alla lettura e alla scrittura
,,,,
IL RE PREGA ROMANZO,23,Chi nominerà il re come vescovo?,Il fratello della fanciulla,Don Diego Spani
IL RE PREGA ROMANZO,23,Quale confessore ama la fanciulla?,Padre Piombini,Il padre Piombini
IL RE PREGA ROMANZO,23,Chi aveva fatto imprigionare il fratello della fanciulla?,Il conte di Altamura,Il Conte di Altamura
,,,,
IL RE PREGA ROMANZO,24,A chi si rivolge Filippo per parlare di 'novelluccia'?,A Gabriele,A Paglietta
IL RE PREGA ROMANZO,24,Cosa sta accadendo a Napoli?,La polizia terrorizza la città,Ci sono molti arresti
IL RE PREGA ROMANZO,24,Qual è la situazione familiare di Gabriele?,Non ha famiglia,È senza genitori e fratelli
,,,,
IL RE PREGA ROMANZO,25,Chi accusa Concettella di tradire Gabriele?,Filippo,Un uomo di nome Filippo
IL RE PREGA ROMANZO,25,Qual è il nome del prete con cui Concettella è accusata di avere una relazione?,Don Diego Spani,Il prete Don Diego Spani
IL RE PREGA ROMANZO,25,Qual è la natura del rapporto tra Gabriele e Concettella?,Sono legati da una promessa d'amore,Gabriele ama Concettella e le ha fatto una promessa
,,,,
IL RE PREGA ROMANZO,26,Quale legame si crea tra Gabriele e Filippo dopo il perdono?,Sono fratelli,Diventano fratelli
IL RE PREGA ROMANZO,26,Chi chiama Filippo dopo l'episodio con Gabriele?,Il Conte di Altamura,Il conte
IL RE PREGA ROMANZO,26,Che tipo di persona cerca il Conte di Altamura oltre a Filippo?,Un individuo determinato ed energico,Una persona energica e determinata
,,,,
IL RE PREGA ROMANZO,27,Dove è diretto Don Diego?,A Napoli,Verso Napoli
IL RE PREGA ROMANZO,27,Cosa possiede Don Gabriele?,Un teatrino ambulante,Un teatrino con pupazzi
IL RE PREGA ROMANZO,27,Chi rimprovera Don Diego?,Pio IX,Il Papa Pio IX
,,,,
IL RE PREGA ROMANZO,28,A quale ordine fu costretto ad entrare il gesuita?,All'ordine dei gesuiti,All'ordine religioso dei gesuiti
IL RE PREGA ROMANZO,28,Quale promessa ha infranto il gesuita per amore di Bambina?,La sua parola di prete e il suo onore di gentiluomo,I suoi voti sacerdotali e la sua lealtà di gentiluomo
IL RE PREGA ROMANZO,28,Come reagisce Bambina alla dichiarazione del gesuita?,Si offre a lui con esaltazione,Si dichiara pronta a stare con lui
,,,,
IL RE PREGA ROMANZO,29,Cosa ha dimenticato di fare don Gabriele?,Di consegnare una lettera,Di recapitare una missiva
IL RE PREGA ROMANZO,29,Dove è arrivato il corriere del padre generale Rothaan?,A Napoli,Nella città di Napoli
IL RE PREGA ROMANZO,29,In quale stabilimento è entrato il corriere a Napoli?,Nel Gesù Nuovo,Nell'edificio del Gesù Nuovo
,,,,
