Batch,Testo,Risposta1,Risposta2
6,A quale movimento politico si unisce Carlo Altoviti?,Si unisce al movimento giacobino.,Diventa un sostenitore dei giacobini.
6,In quale periodo storico si svolgono le vicende principali narrate da Carlo Altoviti?,Le vicende si svolgono tra la fine del Settecento e l'inizio dell'Ottocento.,Il romanzo è ambientato tra la fine del XVIII e l'inizio del XIX secolo.
6,Dove muore Pisana?,Pisana muore a Venezia.,La morte di Pisana avviene nella città di Venezia.
7,In quale città si svolgono principalmente gli eventi del romanzo?,La maggior parte della storia si svolge a Venezia.,Le vicende narrate hanno luogo prevalentemente nella città di Venezia.
7,Qual era l'obiettivo principale di Lelio all'inizio della vicenda?,Lelio mirava a recuperare un'eredità perduta.,Il suo scopo iniziale era rientrare in possesso di un'eredità.
7,Chi ha aiutato Paride a scoprire il suo avvelenatore?,Il narratore ha assistito Paride nella ricerca del colpevole.,È stato il narratore a supportare Paride nell'identificare chi lo aveva avvelenato.
7,Qual è stato il destino finale di Betta?,Betta è fuggita dalla città per iniziare una nuova vita.,"Alla fine, Betta ha lasciato la città per ricominciare altrove."
8,Perché Fulvia cerca un colloquio privato con Lattanzio?,Vuole discutere questioni importanti relative alla loro situazione.,Intende affrontare argomenti cruciali che li riguardano.
8,Qual è il destino finale dell'acqua tofana?,Viene scoperta e neutralizzata prima di essere usata.,La sostanza velenosa non raggiunge il suo scopo e viene intercettata.
8,Chi aiuta Lattanzio a sfuggire a Don Lelio?,Un alleato inaspettato gli offre rifugio e protezione.,Riceve assistenza da qualcuno che non ci si aspettava lo sostenesse.
8,Qual è il ruolo di Don Mattias de' Medici nel complotto contro Fulvia?,"Agisce come un protettore, cercando di salvaguardare i suoi interessi.","Si posiziona come un difensore, tutelando i propri scopi."
9,Qual è il destino finale di Lelio?,Lelio viene arrestato e condannato per i suoi crimini.,"La giustizia raggiunge Lelio, che finisce in prigione."
9,Chi è la vittima designata dell'acqua tofana procurata da Ciriaco per Lelio?,La vittima designata è Fulvia Piccolomini.,Lelio intende avvelenare Fulvia Piccolomini.
9,Quale decisione prende Caterina Gaetana Griffoli riguardo al consiglio del Parroco?,Caterina Gaetana Griffoli segue il consiglio del Parroco.,La donna accetta e mette in pratica le indicazioni del Parroco.
9,Qual è il ruolo di Paride nella vicenda che coinvolge Betta?,Paride è il complice di Betta in un piano segreto.,Paride aiuta Betta a realizzare i suoi scopi.
10,Qual è il principale obiettivo di Messer Lelio all'inizio del romanzo?,Vuole sfuggire alla sua situazione attuale.,Il suo scopo è liberarsi della condizione in cui si trova.
10,Chi aiuta Elisa a fuggire dalla prigione?,Un vecchio amico di famiglia le offre il suo aiuto.,Riceve soccorso da un conoscente di lunga data.
10,Cosa succede a Ciriaco alla fine della storia?,Si ritira a vivere in campagna.,Decide di abbandonare la vita di città per la campagna.
10,Qual è il significato del medaglione che Fulvia porta sempre con sé?,Contiene un ritratto della sua famiglia perduta.,È un ricordo dei suoi cari che non ci sono più.
11,Quale ruolo assume Lattanzio alla fine del romanzo?,Lattanzio diventa un consigliere del Duca.,Assume la posizione di consigliere ducale.
11,Qual è l'ostacolo principale che Paride deve affrontare per sposare la donna che ama?,La sua famiglia si oppone al matrimonio.,L'opposizione della sua famiglia è il maggiore impedimento.
11,Chi è il vero padre di Fulvia?,Il Conte di Valmont è il suo genitore biologico.,Il suo padre naturale è il Conte Valmont.
11,Quale segreto nasconde Caterina Gaetana Griffoli?,Caterina nasconde di aver avuto un figlio in segreto.,Il suo segreto è l'esistenza di un figlio illegittimo.
12,Che fine fa Lelio?,Lelio viene ucciso da Lattanzio.,Lattanzio lo elimina come parte della sua vendetta.
12,Qual è il motivo della vendetta di Lattanzio?,Lattanzio porta avanti la vendetta per conto di Paride.,La vendetta è un compito affidatogli da Paride.
12,Chi è Paride nel contesto della vendetta di Lattanzio?,Paride è colui che ha incaricato Lattanzio della vendetta.,È il personaggio che ha affidato a Lattanzio il compito di vendicarsi.
12,Qual è il destino finale di Fulvia Piccolomini?,Fulvia Piccolomini viene uccisa da Lattanzio.,Lattanzio la elimina come parte della sua vendetta.
