Batch,Testo,Risposta1,Risposta2
12,Perché il narratore decide di lasciare la città?,Per sfuggire ai ricordi dolorosi del suo passato,Per cercare un nuovo inizio lontano dalle sue vecchie abitudini
12,Chi aiuta Lidia a superare la sua malattia?,Una vecchia amica infermiera di nome Elena,"La sua amica Elena, che è un'infermiera esperta"
12,Dove si incontrano per la prima volta il narratore e Laura?,Durante una festa organizzata a casa di amici comuni,A una serata mondana nella villa di conoscenti
12,Qual è il ruolo di Sergio nella vita di Lidia all'inizio del romanzo?,È il suo fidanzato ufficiale e promesso sposo,È il compagno di Lidia con cui ha una relazione seria
13,Qual è la professione del narratore?,Il narratore è uno scrittore.,Il protagonista che racconta la storia esercita la professione di scrittore.
13,Qual è il rapporto tra Lidia e il narratore?,Lidia è la moglie del narratore.,Il narratore e Lidia sono sposati.
13,Qual è la natura della relazione tra Laura Uglio e il narratore?,Laura Uglio è l'amante del narratore.,Il narratore ha una relazione extraconiugale con Laura Uglio.
13,Qual è il tema principale del romanzo scritto da Gian Luigi?,Il romanzo di Gian Luigi è di natura autobiografica.,Gian Luigi ha scritto un'opera che narra eventi della sua vita.
14,Qual era la principale ricerca del narratore prima di incontrare Lidia?,Il narratore cercava la pace interiore e la serenità.,Aspirava a trovare tranquillità e appagamento nella sua esistenza.
14,Cosa abbandona il narratore per cambiare radicalmente la sua vita?,Rinuncia alla sua precedente carriera e alle sue ambizioni sociali.,Lascia la sua vecchia professione e le sue aspirazioni mondane.
14,In quale luogo viene ricoverato il signor Pfaff?,Viene ricoverato in un ospizio o casa di cura.,Il signor Pfaff è accolto in una struttura di assistenza.
14,Qual è il risultato dell'incontro tra il narratore e Laura?,L'incontro porta a una svolta significativa nella vita del narratore.,Da quell'incontro scaturisce un cambiamento importante per il protagonista.
15,Qual è il principale ostacolo nella relazione tra Sergio e Lidia?,La distanza geografica tra le loro città.,Il fatto che vivono in luoghi diversi.
15,Quale decisione prende Lidia dopo aver scoperto l'infedeltà del narratore?,Decide di lasciare il narratore.,Sceglie di porre fine alla loro relazione.
15,Qual è il legame tra Laura Uglio e il narratore?,È la sorella del narratore.,Sono fratelli.
15,Qual è la professione di Ettore Caccianimico?,È un professore universitario.,Svolge l'attività di docente all'università.
