Batch,Testo,Risposta1,Risposta2
6,Qual è la professione del marito di Maria?,Il marito di Maria è un avvocato di successo.,L'uomo sposato con Maria esercita la professione forense.
6,Cosa succede a Ubaldo Caruso dopo la rivalità con Fabio?,Ubaldo Caruso è costretto a lasciare la città.,"Dopo lo scontro con Fabio, Ubaldo Caruso si allontana dal paese."
7,"Qual è la professione principale di Don Pio, oltre alla politica?",Don Pio è un influente avvocato.,La sua professione principale è quella di avvocato.
7,Dove si trova la residenza principale di Don Pio?,La residenza di Don Pio si trova nel quartiere di Trastevere.,Don Pio abita principalmente a Trastevere.
7,Qual è il legame familiare tra Maria e Don Pio?,Maria è la nipote di Don Pio.,Il legame di parentela tra Maria e Don Pio è quello di nipote.
7,Qual è il principale obiettivo di Don Pio nella sua carriera politica?,Don Pio mira a ottenere una posizione di potere nel governo.,Il suo scopo politico è raggiungere un'alta carica governativa.
8,Qual è il legame di parentela tra Don Pio e il Principe della Marsiliana?,Don Pio è il fratello del Principe della Marsiliana.,Il Principe della Marsiliana è il fratello di Don Pio.
8,Qual è l'obiettivo principale di Don Pio nel corso del romanzo?,Don Pio mira a ottenere il controllo del patrimonio della famiglia Marsiliana.,Il suo scopo è acquisire la gestione dei beni dei Marsiliana.
8,Qual era la professione di Fabio Rosati prima di entrare al servizio della principessa?,Fabio Rosati era un giornalista prima di lavorare per la principessa.,"Prima di servire la principessa, Fabio esercitava la professione di giornalista."
8,A quale scopo principale viene utilizzato il giornale La Stampa nel romanzo?,Il giornale La Stampa è uno strumento di propaganda politica per Don Pio.,Don Pio si serve de La Stampa per diffondere le sue idee politiche.
9,Quale decisione prende Fabio dopo essere stato accusato da Don Pio?,Fabio decide di lasciare la città per evitare ulteriori problemi.,"Per sfuggire alle accuse di Don Pio, Fabio sceglie di abbandonare il paese."
9,Come dimostra Donna Teresa il suo attaccamento alla famiglia?,Donna Teresa sacrifica la sua eredità per salvare la reputazione dei suoi parenti.,"Per proteggere l'onore familiare, Donna Teresa rinuncia ai suoi beni."
9,Quale evento importante si svolge a Palazzo Urbani verso la fine del romanzo?,Palazzo Urbani ospita la firma del trattato di pace tra le fazioni in conflitto.,La cerimonia di sigillo dell'accordo di pace tra le parti avversarie ha luogo a Palazzo Urbani.
9,Qual è il destino finale della relazione tra Ubaldo e Maria?,"Ubaldo e Maria si separano definitivamente, prendendo strade diverse.","La loro storia d'amore giunge al termine, con entrambi che proseguono le proprie vite separatamente."
10,Qual è l'obiettivo principale di Fabio Rosati all'inizio del romanzo?,Fabio Rosati mira a ottenere una posizione di potere nel mondo della politica.,L'intento primario di Fabio Rosati è ascendere nella gerarchia politica.
10,Quale evento cruciale spinge Don Pio a prendere una decisione drastica?,La scoperta di un tradimento da parte di un alleato fidato lo porta a una scelta radicale.,Un atto di slealtà da parte di qualcuno vicino a lui lo costringe a una decisione estrema.
10,Dove si svolge l'incontro segreto tra Maria e Ubaldo Caruso?,L'incontro clandestino tra Maria e Ubaldo Caruso avviene in una villa abbandonata fuori città.,Maria e Ubaldo Caruso si incontrano in segreto in una vecchia villa disabitata alla periferia.
10,Qual è la sorte finale di Don Tommasino Lavriani?,Don Tommasino Lavriani si ritira dalla vita pubblica e si dedica alla sua famiglia.,"Alla fine del libro, Don Tommasino Lavriani abbandona la scena politica per dedicarsi ai suoi affetti."
11,Perché Maria decise di lasciare la città?,Maria partì per cercare nuove opportunità di lavoro.,La sua partenza fu motivata dalla ricerca di un impiego migliore.
11,Qual era il significato del ritratto per la Principessa?,Il ritratto rappresentava un caro parente defunto della Principessa.,"Per la Principessa, il ritratto simboleggiava la memoria di un familiare scomparso."
11,Come si risolse la disputa tra Don Pio e Fieramosca?,La disputa si concluse con un compromesso accettato da entrambi.,Don Pio e Fieramosca raggiunsero un accordo reciproco per porre fine al loro disaccordo.
11,Qual era l'obiettivo principale di Ubaldo per 'La Stampa'?,Ubaldo mirava a modernizzare le tecniche di stampa e la diffusione del giornale.,Il suo scopo era innovare i metodi di produzione e ampliare la distribuzione de 'La Stampa'.
12,Qual è l'obiettivo principale di Don Pio nella sua carriera politica?,Don Pio mira a migliorare le condizioni di vita dei poveri.,Il suo scopo è portare aiuto e giustizia ai meno abbienti.
12,Qual è la professione di Fabio?,Fabio è un avvocato.,Esercita la professione di legale.
12,In quale città si svolgono principalmente gli eventi del romanzo?,La storia è ambientata principalmente a Roma.,"Gli avvenimenti si verificano soprattutto nella capitale italiana, Roma."
12,Qual è il destino finale della signora Caruso?,La signora Caruso si ritira in campagna.,"Alla fine del romanzo, si trasferisce in una tenuta rurale."
13,Qual è il ruolo di Giulia nella famiglia del principe della Marsiliana?,È la governante dei suoi figli,Si occupa dell'educazione della prole del principe
13,Come si chiama la tenuta principale del principe della Marsiliana?,Si chiama Villa Marsiliana,La sua residenza principale è Villa Marsiliana
13,Qual è il motivo principale per cui Carrani si allontana da 'La Stampa'?,Lascia il giornale per dedicarsi alla politica,Abbandona la redazione per intraprendere la carriera politica
13,Il progetto della stazione in Trastevere viene realizzato?,"No, il progetto non viene mai completato",La costruzione della stazione non ha luogo
14,Qual è la professione di Fabio Rosati?,Fabio Rosati è un avvocato.,Fabio Rosati esercita la professione legale.
14,Qual è il nome del luogo dove si tiene l'inaugurazione a cui partecipa Donna Camilla?,L'inaugurazione si tiene alla Galleria Bellini.,Il luogo dell'inaugurazione è la Galleria Bellini.
14,Qual è il motivo principale per cui Maria si allontana da Don Pio?,Maria si allontana per cercare la sua autonomia.,Il desiderio di indipendenza spinge Maria a lasciare Don Pio.
14,Chi è il principale antagonista di Don Pio nel romanzo?,Il principale antagonista di Don Pio è il Dottor Rossi.,Il Dottor Rossi è la figura che si oppone maggiormente a Don Pio.
15,Qual è l'obiettivo principale della carriera politica di Marco Rossi?,Marco Rossi mira a diventare Primo Ministro.,L'ambizione di Marco Rossi è raggiungere la carica di Primo Ministro.
15,Qual è il legame di Don Pio con la famiglia del protagonista?,"Don Pio è lo zio del protagonista, fratello del padre.","Il protagonista è il nipote di Don Pio, figlio di suo fratello."
15,Quale scandalo cruciale viene rivelato per la prima volta da La Stampa?,La Stampa svela lo scandalo finanziario che coinvolge il Ministro.,Il giornale La Stampa pubblica in esclusiva la notizia dello scandalo finanziario del Ministro.
15,In quale città si svolge la maggior parte degli eventi del romanzo?,La narrazione si concentra principalmente a Torino.,Gli avvenimenti principali del romanzo hanno luogo nella città di Torino.
