Book,ParagraphIndex,Question,AnswerA,AnswerB
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",5,Qual è la professione di Madlen?,È una cantante,Svolge la professione di cantante
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",6,Qual è la funzione di Doña Beatriz nella vicenda?,È un'intermediaria,Agisce come mediatrice
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",6,Il narratore incontra Socorrito la Sevillana?,"Sì, la conosce","Sì, ha un incontro con lei"
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",6,Il narratore riesce a conoscere Pastora Imperio?,"No, non la incontra","No, non ha l'occasione di conoscerla"
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",7,Qual è la pelliccia preferita dalla donna che si trova a San Sebastiano?,Lo zibellino,La pelliccia di zibellino
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",7,Che professione svolge l'Argentino che ha proposto alla donna di andare in America?,È un piantatore di caffè,Fa il piantatore di caffè
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",7,Qual è il gioco d'azzardo che non piace alla donna?,Il trente et quarante,Non le piace il trente et quarante
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",8,Il rapporto tra Madlen e il narratore si conclude in modo felice?,"No, il loro legame è infelice",La loro relazione non ha un lieto fine
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",8,Pompon rimane sempre al fianco di Madlen?,"Sì, le resta fedele",Il cane non la abbandona mai
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",8,Qual è l'occupazione principale del narratore?,È un filosofo,Svolge la professione di pensatore
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",9,Come si chiama il narratore che dialoga con Madlen?,Giorgio,Il protagonista Giorgio
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",9,Qual è la condizione sociale di Madlen?,È una nobildonna,Appartiene all'aristocrazia
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",9,Dove si incontrano per la prima volta Madlen e il narratore?,"A Roma, durante un ricevimento",In un salotto romano
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",10,Chi è l'amante di Madlen Green?,Lord Pepe,Pepe
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",10,Quale sentimento prova il narratore verso Lord Pepe?,Gelosia,Un forte senso di gelosia
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",10,Come viene descritto il rapporto tra Lord Pepe e Madlen Green?,Lord Pepe è il suo unico amante,Lord Pepe è l'amante esclusivo di Madlen Green
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",11,Qual era la professione del narratore?,Era un marinaio,Un navigatore di professione
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",11,Di che nazionalità è Madlen?,È inglese,Proviene dall'Inghilterra
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",11,Qual è lo scopo del Segretario Galante?,Fornire modelli di lettere d'amore,Insegnare a scrivere lettere galanti
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",12,Qual è la principale passione di Odette Litzine?,Il gioco d'azzardo,La roulette e il gioco d'azzardo
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",12,Chi è la persona che aiuta finanziariamente Odette Litzine?,Blanche,La sua amica Blanche
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",12,Qual era la relazione tra Odette Litzine e il principe Galitzine?,Era la sua protetta,Era la protetta del principe Galitzine
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",13,Qual è la professione dell'avvocato di Nimes?,È un avvocato,Svolge la professione di avvocato
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",13,Qual è la natura del legame tra Litzine e Madlen?,Sono amanti,Condividono una relazione amorosa
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",13,Qual è il titolo nobiliare di M.me Fellner?,Contessa,Il suo titolo è contessa
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",14,Che tipo di legame unisce Madlen e Litzine?,Sono amanti,Intrecciano una relazione sentimentale
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",14,Come si chiama il narratore?,Il suo nome è [Nome del narratore],Si chiama [Nome del narratore]
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",14,In quale città o luogo si svolge la vicenda?,La vicenda si svolge a [Nome del luogo],I personaggi si trovano a [Nome del luogo]
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",15,Come viene caratterizzato Adamo dall'autore riguardo alla tentazione del frutto proibito?,Come un personaggio che non sentiva alcuna tentazione,Come un uomo indifferente al frutto proibito
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",15,Qual è la relazione di Eva con Adamo secondo la descrizione dell'autore?,Eva avrebbe potuto fare a meno di Adamo,Eva non era indispensabile ad Adamo
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",15,"Secondo l'autore, Adamo era indispensabile per la storia del genere umano?","No, la sua presenza non era essenziale per il progresso umano","No, l'autore suggerisce la sua superfluità"
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",16,Qual è lo scopo del viaggio a Bilbao di Madlen e del narratore?,Cercare un nuovo inizio,Fuggire dalla noia di San Sebastiano
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",16,Qual è la nazionalità di Madlen?,È inglese,Proviene dall'Inghilterra
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",16,Il viaggio di Madlen e del narratore è definitivo o temporaneo?,È temporaneo,La loro compagnia è provvisoria
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",17,La storia d'amore tra il narratore e Madlen si conclude tragicamente?,"No, la loro storia non ha un epilogo tragico.",La relazione tra il narratore e Madlen non finisce in modo drammatico.
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",17,Lord Pepe è un personaggio secondario nel libro?,"Sì, è un personaggio di contorno.",Lord Pepe ha un ruolo marginale nella narrazione.
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",17,Il narratore rivela il suo nome nel corso del libro?,"Sì, il suo nome viene svelato.",Il narratore si presenta con il suo nome.
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",18,Che tipo di animale è Blas?,Un gallo da combattimento,Un gallo
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",18,Qual è il nome della donna con cui il narratore si reca all'Hôtel de Vizcaya?,Maria,La sua compagna Maria
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",18,In quale tipo di evento muore Blas?,In un combattimento di galli,Durante una lotta tra galli
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",19,Qual è la condizione sociale di Madlen?,È una cortigiana,Vive come una mantenuta
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",19,Qual era lo scopo del rapporto di Madlen con Lord Pepe?,Era un accordo di facciata,Serviva a mantenere le apparenze
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",19,Chi è l'interlocutore di Madlen?,È la sua amica,È una confidente
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",20,Dove decidono di andare Madlen e il narratore dopo la loro discussione?,A Biarritz,Nella città di Biarritz
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",20,Qual era il rapporto tra Madlen e Lord Pepe?,Erano amanti,Lord Pepe era un suo ex amante
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",20,Come si chiama il narratore?,Si chiama Andrea,Il suo nome è Andrea
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",21,Quale evento significativo si verifica per Bernadette Soubirous presso la spelonca di Massabielle?,Le apparizioni della Vergine Maria,Bernadette vede la Madonna
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",21,Chi è Bernadette Soubirous?,La veggente di Lourdes,La santa che vide la Madonna
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",21,Quale elemento miracoloso è associato alla spelonca di Massabielle?,La sorgente d'acqua curativa,La fonte d'acqua che sgorga dalla grotta
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",22,Chi sposerà Lord Pepe?,La cugina Adelaida,"Adelaida, sua cugina"
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",22,Quale feudo erediterà Lord Pepe?,Il feudo di Zaraùz,Zaraùz
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",22,Come si chiama la zia di Lord Pepe?,Doña Isabel,Isabel
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",23,Come si chiama il protagonista del romanzo?,Pierre Froment,Il sacerdote Pierre Froment
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",23,In quale città si svolge la vicenda principale?,A Lourdes,Nella città di Lourdes
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",23,Qual è la professione di Pierre Froment?,Sacerdote,Un prete
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",24,Cosa diventerà il narratore?,Un monaco,Un frate minore
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",24,A quale tipo di famiglia appartiene Lord Pepe?,Una vecchia gente cristianissima,Una famiglia di antica tradizione cristiana
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",24,Chi è la fondatrice involontaria di Lourdes menzionata dal narratore?,La figlia di un povero mugnaio,Bernadette Soubirous
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",25,Qual era il soprannome della madre di Madlen?,Contessa Fata,La Fata Contessa
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",25,Dove fu mandata Madlen dopo la morte di sua madre?,In un educandato francese,In un collegio femminile vicino a Parigi
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",25,Quale fu l'ultima professione del padre di Madlen prima di dedicarsi alla politica?,Agricoltore,Faceva l'agricoltore
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",26,Madlen e Odette abitano nella stessa casa?,"Sì, condividono la stessa abitazione.","Sì, risiedono nella medesima dimora."
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",26,Madlen è innamorata di Odette?,"Sì, prova un profondo sentimento d'amore per lei.","Sì, nutre un forte amore per Odette."
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",26,Madlen e Odette sono sposate?,"No, non sono unite in matrimonio.","No, non hanno contratto matrimonio."
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",27,Come si chiama la narratrice del racconto?,Si chiama Silvia,Il nome della narratrice è Silvia
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",27,Che tipo di relazione lega la narratrice a Odette?,Sono amanti,Hanno una relazione amorosa
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",27,In quale regione si trova il Castello menzionato?,Si trova in Toscana,È situato nella regione della Toscana
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",28,Qual è la destinazione del pellegrinaggio del narratore?,Lourdes,Il santuario di Lourdes
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",28,Il narratore decide di diventare monaco?,"Sì, abbraccia la vita monastica","No, non prende i voti"
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",28,Come si chiama la donna che accompagna il narratore a Lourdes?,Si chiama Madlen,Il suo nome è Madlen
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",29,Qual è la vocazione di Diácono Ralph?,È un monaco,Svolge il ministero monastico
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",29,In quale luogo si svolge la scena descritta nell'estratto?,A Lourdes,Nel santuario mariano di Lourdes
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",29,Chi è la 'donna impaurita' menzionata dal narratore a Diácono Ralph?,È la moglie del narratore,La consorte del narratore
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",30,Da dove proviene la donna che il narratore chiama Madlen?,Dalla terra d'esilio,Da un luogo lontano
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",30,Qual è il nome del teatro che si vede dalla stanza di Madlen?,Teatro Eugenia Vittoria,L'Eugenia Vittoria
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",30,Qual è la natura delle relazioni amorose del narratore?,Sono effimere e passeggere,Sono brevi e transitorie
,,,,
