Book,ParagraphIndex,Question,AnswerA,AnswerB
IL ROMANZO DELLA MORTE,6,Qual è l'esito della relazione tra Argìa e il giovane?,Si sposano,Convolano a nozze
,,,,
IL ROMANZO DELLA MORTE,7,Qual è il legame tra l'uomo e la donna?,Sono marito e moglie,Sono una coppia sposata
IL ROMANZO DELLA MORTE,7,Qual è la principale accusa mossa dall'uomo alla donna?,Di infedeltà,Di averlo tradito con un altro uomo
IL ROMANZO DELLA MORTE,7,L'uomo compie l'atto omicida che medita?,"No, non la uccide",Non commette l'omicidio
,,,,
IL ROMANZO DELLA MORTE,8,Come si chiama il protagonista maschile che propone ad Argìa di fingersi fidanzati?,Marco,Il suo nome è Marco
IL ROMANZO DELLA MORTE,8,Qual è la natura della profonda miseria di Argìa?,È stata disonorata pubblicamente,La sua reputazione è stata infangata
IL ROMANZO DELLA MORTE,8,Qual è la conseguenza principale del piano di Argìa e del protagonista di fingersi fidanzati?,Vengono scoperti e costretti alla fuga,"La loro finzione viene svelata, portando all'esilio"
,,,,
IL ROMANZO DELLA MORTE,9,Come si chiama la donna che si rivolge a Fausto?,Si chiama Lia,Il suo nome è Lia
IL ROMANZO DELLA MORTE,9,Quale finzione Fausto ha imposto alla donna con sua madre?,Una finta relazione d'amore,Un fidanzamento non voluto
IL ROMANZO DELLA MORTE,9,Quale destino finale attende la donna che parla a Fausto?,Riesce a fuggire dalla sua condizione,Si libera dalla situazione imposta
,,,,
IL ROMANZO DELLA MORTE,10,Come si chiama l'uomo ignoto che ossessiona Fausto?,Giovanni Rossi,Il signor Giovanni Rossi
IL ROMANZO DELLA MORTE,10,Di quale crimine è accusata Argìa?,Omicidio,L'uccisione di un uomo
IL ROMANZO DELLA MORTE,10,Qual è l'esito finale della relazione tra Fausto e Argìa?,Si separano definitivamente,La loro relazione giunge al termine
,,,,
IL ROMANZO DELLA MORTE,11,Qual è il legame di parentela tra Fausto e don Paolo?,Don Paolo è lo zio di Fausto,Fausto è il nipote di don Paolo
IL ROMANZO DELLA MORTE,11,Qual è il rapporto tra Fausto e Vittorio?,Sono fratelli,Sono legati da un vincolo di fratellanza
IL ROMANZO DELLA MORTE,11,Qual è la condizione di salute di don Paolo?,È affetto da tabe senile,Soffre di una malattia degenerativa legata all'età
,,,,
IL ROMANZO DELLA MORTE,12,Qual è il nome completo di Don Paolo?,Paolo Mariani,Il suo nome completo è Paolo Mariani
IL ROMANZO DELLA MORTE,12,Qual è la professione di Don Paolo da adulto?,È un sacerdote,Svolge la professione di prete
IL ROMANZO DELLA MORTE,12,Qual è stata la causa della morte di Nino e Bianchetto?,Sono stati macellati per il consumo,La cuoca li ha uccisi per cucinarli
,,,,
IL ROMANZO DELLA MORTE,13,Come si chiama la donna che è con Fausto sul bastione?,Il suo nome è Elena,Si chiama Elena
IL ROMANZO DELLA MORTE,13,Qual è il rapporto tra Amelia e Vittorio e Fausto?,Sono amici di Fausto,Sono una coppia di amici del protagonista
IL ROMANZO DELLA MORTE,13,La donna che è con Fausto ha un figlio?,"Sì, ha un figlio","Sì, è madre di un bambino"
,,,,
IL ROMANZO DELLA MORTE,14,Quale destino attende l'amore tra Andrea Sperelli e Elena Muti nel corso del libro?,L'amore tra Andrea Sperelli e Elena Muti è destinato a fallire.,La loro relazione si conclude con la separazione e la distruzione.
IL ROMANZO DELLA MORTE,14,Quali sono le 'vecchie idee' che Andrea Sperelli fatica a sradicare?,Le 'vecchie idee' di Andrea Sperelli sono legate al suo estetismo e alla sua educazione aristocratica.,Andrea Sperelli è tormentato dai principi del suo passato e dalla sua ricerca del piacere.
IL ROMANZO DELLA MORTE,14,Qual è il ruolo di Elena Muti nella vita di Andrea Sperelli e nel suo conflitto interiore?,Elena Muti rappresenta per Andrea Sperelli la passione distruttiva e il richiamo al suo passato.,La figura di Elena Muti incarna l'amore sensuale che lo consuma.
,,,,
IL ROMANZO DELLA MORTE,15,Qual è la causa della profonda angoscia della protagonista?,Un segreto inconfessabile,Un'azione di cui si vergogna
IL ROMANZO DELLA MORTE,15,Che tipo di relazione lega Fausto alla protagonista?,Sono marito e moglie,È il suo coniuge
IL ROMANZO DELLA MORTE,15,A quale ambito della scienza moderna si riferisce la protagonista?,Alla psichiatria,Agli studi sulla mente
,,,,
IL ROMANZO DELLA MORTE,16,Argìa sposa Fausto?,"No, non si sposano",Non convolano a nozze
IL ROMANZO DELLA MORTE,16,Argìa riesce a realizzare il matrimonio agiato desiderato dal padre?,"No, non si sposa riccamente",Non realizza un matrimonio benestante
IL ROMANZO DELLA MORTE,16,La madre di Argìa è ancora in vita all'inizio del romanzo?,"No, è morta",Non è più in vita
,,,,
IL ROMANZO DELLA MORTE,17,Adolfo Ruggeri riesce a sedurre Argìa?,"No, Argìa non cede alle sue lusinghe.",Il suo tentativo di conquista fallisce.
IL ROMANZO DELLA MORTE,17,Chi sposa Argìa alla fine del romanzo?,Sposa Fausto Lamberti.,Il suo sposo è Fausto Lamberti.
IL ROMANZO DELLA MORTE,17,Qual è il nome dello studente di Mantova amato da Argìa?,Si chiama Emilio.,Il suo nome è Emilio.
,,,,
IL ROMANZO DELLA MORTE,18,Qual è il nome della donna che si reca alla panca di pietra sotto la rovere?,Eleonora,La signora Eleonora
IL ROMANZO DELLA MORTE,18,Come si chiama la tenuta dove Eleonora cammina sull'erba umida?,Villa dei Cedri,La tenuta di Villa dei Cedri
IL ROMANZO DELLA MORTE,18,Qual è la causa principale dei 'momenti funesti' che tormentano Eleonora?,La morte del marito,La perdita del consorte
,,,,
IL ROMANZO DELLA MORTE,19,Quale segreto riguardante la sua condizione Argìa ricorda tornando in villa?,Di essere incinta,La sua gravidanza
IL ROMANZO DELLA MORTE,19,Chi è Fausto per Argìa?,Il suo amato,L'uomo che ama
IL ROMANZO DELLA MORTE,19,Dove si reca Argìa dopo il consiglio del professore?,In città,Nella città
,,,,
IL ROMANZO DELLA MORTE,20,Qual è la professione di Fausto?,È un medico,Fausto esercita la professione di dottore
IL ROMANZO DELLA MORTE,20,Qual è il destino finale di Argìa?,Argìa muore,Il suo destino è la morte
IL ROMANZO DELLA MORTE,20,Qual è la ragione principale per cui Fausto aveva desiderato uccidere Argìa?,Per gelosia,Il motivo era la gelosia
,,,,
IL ROMANZO DELLA MORTE,21,Chi è Argìa per Fausto?,La donna amata da Fausto,La sua compagna
IL ROMANZO DELLA MORTE,21,Fausto e Argìa portano a termine il loro intento suicida?,"Sì, si tolgono la vita","Sì, muoiono insieme"
IL ROMANZO DELLA MORTE,21,Il desiderio di Fausto che i loro nomi risuonino a lungo dopo la morte si avvera?,"Sì, la loro storia è ricordata","Sì, la loro vicenda diventa nota"
,,,,
IL ROMANZO DELLA MORTE,22,Qual è il destino finale di Fausto?,Si suicida,Si toglie la vita
IL ROMANZO DELLA MORTE,22,Chi è la donna amata da Fausto?,Margherita,La sua amata Margherita
IL ROMANZO DELLA MORTE,22,Qual è lo scopo dell'asilo che Fausto cerca?,È il luogo del suo suicidio,È il posto dove intende morire
,,,,
IL ROMANZO DELLA MORTE,23,Chi è il personaggio che accusa i gesuiti di volerlo uccidere?,Don Giovanni,Il protagonista Don Giovanni
IL ROMANZO DELLA MORTE,23,Chi è il 'bel giovanotto' che raggira la signora Luisa?,Arturo,Il giovane Arturo
IL ROMANZO DELLA MORTE,23,Qual è il destino finale di Don Giovanni?,Muore,Viene trovato morto
,,,,
IL ROMANZO DELLA MORTE,24,Come si chiama la sorella di Amelia che dovrebbe sposare il signor Lamberti?,Si chiama Isabella.,Il suo nome è Isabella.
IL ROMANZO DELLA MORTE,24,Qual è il nome del personaggio zoppo che Amelia si rifiuta di sposare?,È Carlo.,Si chiama Carlo.
IL ROMANZO DELLA MORTE,24,Che relazione di parentela lega Don Paolo ad Amelia e alla sorella?,È il loro zio.,Don Paolo è lo zio delle due ragazze.
,,,,
IL ROMANZO DELLA MORTE,25,Qual è la malattia di Fausto?,La tubercolosi,Soffre di tubercolosi
IL ROMANZO DELLA MORTE,25,Chi è la donna che si addormenta sulla poltroncina?,È la moglie di Fausto,La consorte di Fausto
IL ROMANZO DELLA MORTE,25,Che rapporto lega Fausto ai Lamberti?,Sono i suoi suoceri,Sono i genitori di sua moglie
,,,,
IL ROMANZO DELLA MORTE,26,Qual è la verità che Argìa confessa al Professore?,La sua gravidanza,Di aspettare un figlio
IL ROMANZO DELLA MORTE,26,Qual è la professione del Professore?,È un medico,Svolge la professione di medico
IL ROMANZO DELLA MORTE,26,In quale località si trova la casa del Professore?,A Borgo San Felice,Nel paese di Borgo San Felice
,,,,
IL ROMANZO DELLA MORTE,27,Come si chiama il padre di Argìa?,Il professor De Santis,Il signor De Santis
IL ROMANZO DELLA MORTE,27,Qual è il segreto funesto che Argìa ha promesso di non rivelare?,La vera identità del figlio di Fausto,Che Fausto ha un figlio segreto
IL ROMANZO DELLA MORTE,27,Per quale motivo Argìa si rifiuta di sposare Fausto?,Perché Fausto è già sposato,A causa del precedente matrimonio di Fausto
,,,,
IL ROMANZO DELLA MORTE,28,Qual è la malattia che affligge Fausto?,Fausto è malato di tifo,La sua malattia è il tifo
IL ROMANZO DELLA MORTE,28,Per quale motivo Fausto e Argìa richiedono permessi speciali per il matrimonio?,A causa delle gravi condizioni di salute di Fausto,Per via dell'imminente pericolo di vita di Fausto
IL ROMANZO DELLA MORTE,28,Chi si occupa delle formalità burocratiche per il matrimonio di Fausto e Argìa?,Il Professore e Vittorio Giudici,Vittorio Giudici e il Professore
,,,,
IL ROMANZO DELLA MORTE,29,Come si chiama la protagonista che scopre di essere incinta?,Maria,La protagonista Maria
IL ROMANZO DELLA MORTE,29,Quale condanna ha ricevuto la protagonista?,La condanna al carcere,Una pena detentiva
IL ROMANZO DELLA MORTE,29,Quale destino attende il figlio della protagonista?,Viene separato dalla madre,Il bambino le viene tolto
,,,,
IL ROMANZO DELLA MORTE,30,Qual era il vecchio sogno di morte di Fausto e Argìa?,Un patto suicida,Il desiderio di morire insieme
IL ROMANZO DELLA MORTE,30,Qual era la ragione principale della tristezza di Argìa?,L'insoddisfazione coniugale,Il desiderio di libertà
IL ROMANZO DELLA MORTE,30,Fausto esercitò mai una professione retribuita?,"No, non ne ebbe bisogno","No, si dedicò solo allo studio"
,,,,
