Book,ParagraphIndex,Question,AnswerA,AnswerB
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,5,Che funzione ha il pozzo misterioso per la trama del libro?,È un portale per un'altra dimensione,Serve da passaggio verso un mondo parallelo
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,5,Qual è la vera ragione della separazione dei monti tra le due rive del lago?,Un evento geologico millenario,Fu causata da un'antica catastrofe naturale
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,6,Qual è la natura del legame tra Dalia e Roberto?,Sono fidanzati,Hanno una relazione sentimentale
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,6,Qual è la professione di Dalia?,È una modista,Lavora come sarta
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,6,In quale città è ambientata la maggior parte della storia?,A Milano,Nel capoluogo lombardo
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,7,Qual è il nome del frate spia che si reca al palazzo della polizia?,Fra Galdino,Il monaco Fra Galdino
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,7,Qual è il destino del famigerato Maniscalco?,Viene arrestato e processato,Finisce in prigione per i suoi crimini
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,7,A quale evento storico di rilievo è collegata la vicenda narrata nel libro?,Alla Spedizione dei Mille,All'impresa garibaldina dei Mille in Sicilia
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,8,Per quale causa cospirano i frati della Gancia?,Per la libertà della Sicilia,Per l'indipendenza della Sicilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,8,Quale dinastia governa la Sicilia durante gli eventi narrati?,La dinastia borbonica,I Borbone
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,8,Qual è il ruolo del frate che parla ai ministri borbonici?,È un informatore,È una spia
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,9,Qual è il destino finale di Giovanni Riso?,Viene giustiziato per la sua lealtà,Muore come martire della causa rivoluzionaria
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,9,Qual è l'esito finale del comitato rivoluzionario?,La rivoluzione fallisce,Il movimento rivoluzionario viene soppresso
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,9,Qual è il ruolo del direttore nel governo?,È il capo della polizia politica,Ricopre la carica di ministro della sicurezza
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,10,Come viene chiamata l'impresa di Garibaldi che sbarca a Marsala?,La Spedizione dei Mille,L'impresa dei Mille
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,10,A quale re Garibaldi si dichiara fedele nel suo proclama?,A Vittorio Emanuele II,Al re Vittorio Emanuele
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,10,Qual è l'obiettivo finale delle azioni di Garibaldi in Italia?,L'unificazione d'Italia,La creazione di un'Italia unita
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,11,Qual è il nome completo della contessa Emilia?,Emilia Uzeda,La contessa Emilia Uzeda
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,11,In quale periodo storico si svolge la vicenda narrata?,Durante il Risorgimento italiano,Nel periodo dell'Unità d'Italia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,11,Qual è la professione di Dalia?,È una modista,Lavora come modista
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,12,Il conte riesce a conquistare Emilia?,"Sì, il conte e Emilia si uniscono",Il conte riesce a far sua Emilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,12,Qual è il destino del matrimonio di Emilia?,Il matrimonio di Emilia finisce,Emilia si separa dal marito
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,12,Qual è il destino del marito di Emilia?,Il marito di Emilia muore,Il marito di Emilia scompare dalla scena
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,13,Come si chiama la battaglia che decise l'avvenire dei Borboni in Italia?,La battaglia di Calatafimi,Calatafimi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,13,In nome di chi Garibaldi assunse la dittatura?,Del re Vittorio Emanuele,Di Vittorio Emanuele
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,13,Chi comandava il primo battaglione dei volontari di Garibaldi?,Il colonnello Bixio,Nino Bixio
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,14,Come si chiama il protagonista promosso sottotenente dal colonnello Sirtori?,Carlo Altoviti,Altoviti
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,14,"Ernesto, il nipote raccomandato da Dalia, diventa ufficiale?","Sì, diventa ufficiale",Diventa un ufficiale
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,14,Qual è il nome della ragazza della contessa Emilia che è superba del protagonista?,Pisana,Si chiama Pisana
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,15,Chi è il narratore degli eventi descritti nel libro?,Giuseppe Cesare Abba,L'autore Giuseppe Cesare Abba
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,15,A quale importante evento storico partecipa il narratore in Sicilia?,Alla Spedizione dei Mille,Alla campagna di Garibaldi per l'unità d'Italia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,15,Qual è l'obiettivo principale della spedizione di Garibaldi in Sicilia?,Liberare il Regno delle Due Sicilie,Unificare l'Italia sotto il Regno di Sardegna
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,16,"A quale evento si riferisce Valentino quando parla di ""affare grosso""?",Alla Spedizione dei Mille,All'impresa garibaldina in Sicilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,16,"Quale destino attende Roberto, l'amico di Valentino?",Si unisce ai volontari di Garibaldi,Partecipa alla spedizione con Valentino
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,16,Quale città è l'obiettivo finale della marcia dei volontari attraverso il passo della Mezzagna?,Palermo,La città di Palermo
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,17,A quale campagna militare garibaldina partecipano i personaggi?,Alla campagna per la presa di Roma,Alla spedizione garibaldina verso Roma
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,17,Qual è l'esito finale della campagna garibaldina descritta nel libro?,La campagna si conclude con una sconfitta,Le forze garibaldine vengono respinte
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,17,Che legame unisce il narratore a Roberto?,Sono compagni d'armi,Sono amici e commilitoni
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,18,Come si chiama il dittatore menzionato nell'estratto?,Giuseppe Garibaldi,Garibaldi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,18,Qual è la città in cui si svolgono gli eventi principali descritti?,Palermo,La città di Palermo
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,18,Quale generale accettò l'armistizio prolungato?,Il generale Letizia,Letizia
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,19,Dove si dirige Emilia dopo aver lasciato Angera?,Ad Arona,Verso la città di Arona
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,19,A cosa serve l'enorme cassa che viene caricata sulla barca?,Contiene il bagaglio di Emilia,Serve a trasportare gli effetti personali di Emilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,19,Qual è la professione di Martin-pescatore?,È un pescatore,Svolge la professione di pescatore
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,20,Dove sono dirette la contessa Emilia e Savina?,A Sestri,Verso Sestri
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,20,Qual è il rapporto tra la contessa Emilia ed Ernesto?,Ernesto è il fidanzato della contessa Emilia,Ernesto è il promesso sposo di Emilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,20,Per quale motivo la contessa Emilia si reca a Sestri?,Per incontrare Ernesto,Per ricongiungersi con Ernesto
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,21,Qual era il nome della fregata che Garibaldi doveva prendere a Genova?,Euridice,La fregata Euridice
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,21,Dove Garibaldi conobbe e sposò Anita?,A Rio-Janeiro,Nella città di Rio-Janeiro
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,21,In quale città Garibaldi prestò servizio come infermiere durante un'epidemia di colera?,A Marsiglia,Nella città di Marsiglia
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,22,Sotto il comando di quale figura militare operava il generale Medici?,Giuseppe Garibaldi,Garibaldi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,22,A quale campagna militare si riferiscono gli eventi descritti nell'estratto?,La Spedizione dei Mille,La spedizione di Garibaldi in Sicilia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,22,Quale fu l'esito finale della battaglia di Milazzo per i volontari?,I volontari ottennero la vittoria,La battaglia fu vinta dai garibaldini
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,23,Chi è il generale menzionato nell'estratto?,Giuseppe Garibaldi,Garibaldi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,23,Qual è il nome della battaglia descritta nel libro?,La battaglia di Calatafimi,Lo scontro di Calatafimi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,23,Qual è il destino di Ernesto?,Ernesto muore in battaglia,Perde la vita durante lo scontro
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,24,Qual è la destinazione del viaggio di Roberto e dell'uffiziale?,La città di Roma,Sono diretti a Roma
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,24,Come si chiama l'uffiziale che conversa con Roberto?,Si chiama il capitano Rossi,Il suo nome è Capitano Rossi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,24,Per quale motivo Roberto sta compiendo il suo viaggio?,Per un incarico artistico,Per svolgere una commissione di pittura
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,25,Da quale esercito disertò il generale Türr?,Dall'esercito imperiale austriaco,Dalle forze armate imperiali austriache
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,25,Quale ordine diede Garibaldi per la spedizione in Calabria?,Di tenersi pronti a passare in Calabria,Di prepararsi ad attraversare lo stretto per la Calabria
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,25,Con quale grado militare Türr servì l'Inghilterra?,Come colonnello,Con il grado di colonnello
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,26,Chi guidò l'attacco frontale a Reggio?,Bixio,Il generale Bixio
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,26,Quale città fu conquistata dalle forze di Garibaldi e Bixio?,Reggio,La città di Reggio
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,26,Quale fortezza fu conquistata dal generale Cosenz in Calabria?,Il forte di Scilla,Scilla
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,27,Qual è il miracolo principale legato a San Gennaro?,La liquefazione del suo sangue.,Lo scioglimento del sangue di San Gennaro.
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,27,In quale città si celebra il miracolo di San Gennaro descritto?,A Napoli.,Nella città di Napoli.
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,27,Chi è il narratore che descrive il miracolo di San Gennaro?,La voce narrante del testo.,Il personaggio che racconta in prima persona.
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,28,Come si conclude la malattia del padre di Valentino?,Il padre di Valentino guarisce,Il padre di Valentino non sopravvive
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,28,Roberto partecipa alla liberazione di Roma e Venezia?,"Sì, Roberto combatte per la liberazione","No, Roberto non prende parte alla liberazione"
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,28,Rosa e Valentino si sposano?,"Sì, Rosa e Valentino si uniscono in matrimonio","No, Rosa e Valentino non si sposano"
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,29,Quale importante battaglia si svolse a Calatafimi?,La battaglia di Calatafimi,Lo scontro di Calatafimi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,29,Chi fu il principale condottiero della Spedizione dei Mille?,Giuseppe Garibaldi,Garibaldi
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,29,Quale città fu liberata da Garibaldi il 7 settembre 1860?,Napoli,La città di Napoli
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,30,Quale città fu sempre considerata la capitale della Sicilia dopo il 1077?,Palermo,La città di Palermo
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,30,Sotto gli ordini di quale generale si segnalò il maggiore Tückeri a Kars?,Del generale Kmely,Kmely
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,30,Cairoli soffre ancora per la sua ferita?,"Sì, soffre ancora","Sì, la sua ferita gli causa ancora dolore"
,,,,
